gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.026952743,20250620173703114,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11402457551191825
  y: 0.3959118826393478
  z: 0.08899776825287836
  w: 0.9068249966836497","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30240764567768996
  y: 0.3384230899550088
  z: -0.012819056437689727
  w: 0.8909854655453298","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008668069097123138
  y: 0.1898429217750208
  z: 0.09986592283727783
  w: 0.9766838419293674",40,-3,-3,13,23,-6,-69,-88,1750455423114299058
0,0.027136802,20250620173703115,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11402457551191825
  y: 0.3959118826393478
  z: 0.08899776825287836
  w: 0.9068249966836497","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30240764567768996
  y: 0.3384230899550088
  z: -0.012819056437689727
  w: 0.8909854655453298","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008668069097123138
  y: 0.1898429217750208
  z: 0.09986592283727783
  w: 0.9766838419293674",9,-2,3,2,16,7,24,14,1750455423114431858
0,0.034378051,20250620173703122,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11403008629235298
  y: 0.39580892907902393
  z: 0.0890020694937102
  w: 0.9068688233186273","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30240764567768996
  y: 0.3384230899550088
  z: -0.012819056437689727
  w: 0.8909854655453298","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008545992596955423
  y: 0.1898431212609383
  z: 0.09986602777585052
  w: 0.976684868223477",14,-2,-3,8,-8,1,15,9,1750455423121674060
0,0.034572839,20250620173703122,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11403008629235298
  y: 0.39580892907902393
  z: 0.0890020694937102
  w: 0.9068688233186273","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30240764567768996
  y: 0.3384230899550088
  z: -0.012819056437689727
  w: 0.8909854655453298","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008545992596955423
  y: 0.1898431212609383
  z: 0.09986602777585052
  w: 0.976684868223477",-4,-14,-13,0,6,-2,-23,-10,1750455423121941566
0,0.042225122,20250620173703130,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11403008629235298
  y: 0.39580892907902393
  z: 0.0890020694937102
  w: 0.9068688233186273","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30240764567768996
  y: 0.3384230899550088
  z: -0.012819056437689727
  w: 0.8909854655453298","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008545992596955423
  y: 0.1898431212609383
  z: 0.09986602777585052
  w: 0.976684868223477",-3,0,-5,2,-16,7,-1,-2,1750455423129430055
0,0.042501926,20250620173703130,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11403008629235298
  y: 0.39580892907902393
  z: 0.0890020694937102
  w: 0.9068688233186273","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30240764567768996
  y: 0.3384230899550088
  z: -0.012819056437689727
  w: 0.8909854655453298","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008545992596955423
  y: 0.1898431212609383
  z: 0.09986602777585052
  w: 0.976684868223477",82,12,8,30,16,-5,-36,-62,1750455423129888296
0,0.065933227,20250620173703153,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390123647028591
  y: 0.3956633519830618
  z: 0.08911886669164922
  w: 0.9069370693866602","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30227679194430274
  y: 0.3382911916307201
  z: -0.012696601923347133
  w: 0.8910817061395258","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008424008126779665
  y: 0.18972331346399415
  z: 0.09998931385264556
  w: 0.9766965944092363",5,-1,0,7,-17,-4,-1,-1,1750455423152963876
0,0.066123247,20250620173703154,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390123647028591
  y: 0.3956633519830618
  z: 0.08911886669164922
  w: 0.9069370693866602","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30227679194430274
  y: 0.3382911916307201
  z: -0.012696601923347133
  w: 0.8910817061395258","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008424008126779665
  y: 0.18972331346399415
  z: 0.09998931385264556
  w: 0.9766965944092363",4,2,-8,-9,15,-4,-10,-6,1750455423153232097
0,0.066293001,20250620173703154,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390123647028591
  y: 0.3956633519830618
  z: 0.08911886669164922
  w: 0.9069370693866602","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30227679194430274
  y: 0.3382911916307201
  z: -0.012696601923347133
  w: 0.8910817061395258","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008424008126779665
  y: 0.18972331346399415
  z: 0.09998931385264556
  w: 0.9766965944092363",8,-2,1,6,0,8,23,21,1750455423153796195
0,0.066377163,20250620173703154,None,"translation: 
  x: -0.10313789062499999
  y: -0.02824013671875
  z: 0.1051470703125
rotation: 
  x: 0.11390123647028591
  y: 0.3956633519830618
  z: 0.08911886669164922
  w: 0.9069370693866602","translation: 
  x: -0.12233671875
  y: -0.03069580078125
  z: 0.119211328125
rotation: 
  x: 0.30227679194430274
  y: 0.3382911916307201
  z: -0.012696601923347133
  w: 0.8910817061395258","translation: 
  x: -0.1529208984375
  y: -0.0350490234375
  z: 0.13383369140625
rotation: 
  x: 0.008424008126779665
  y: 0.18972331346399415
  z: 0.09998931385264556
  w: 0.9766965944092363",-20,1,3,3,10,1,1,-3,1750455423153962850
