gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.024711132,20250509171435432,None,-3,0,4,3,6,-4,-1,-1,1746825275430188655,,,,
0,0.024848938,20250509171435432,None,1,-1,-3,-6,3,-3,-7,-6,1746825275430418014,,,,
0,0.031294823,20250509171435439,None,5,-2,0,6,3,0,4,-2,1746825275437717914,"translation: 
  x: -0.1989087890625
  y: 0.06976318359375
  z: 0.06161484375
rotation: 
  x: -0.254500478885855
  y: -0.12096401658315692
  z: 0.7438493613095444
  w: 0.6060407087137984","translation: 
  x: -0.1998017578125
  y: 0.047773828125
  z: 0.0654099609375
rotation: 
  x: 0.41838450876744293
  y: 0.6530314378164728
  z: 0.2790857855390647
  w: 0.5662291659362125","translation: 
  x: -0.1966763671875
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.009156846336351093
  y: 0.17422426295964016
  z: 0.689083209631541
  w: 0.7033678899162487","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.08271123046875
rotation: 
  x: 0.007446192197747416
  y: -0.019653064653071057
  z: 0.6911531184204243
  w: 0.7224027119060528"
0,0.031400204,20250509171435439,None,4,3,2,-4,3,-5,1,2,1746825275437893390,"translation: 
  x: -0.1989087890625
  y: 0.06976318359375
  z: 0.06161484375
rotation: 
  x: -0.254500478885855
  y: -0.12096401658315692
  z: 0.7438493613095444
  w: 0.6060407087137984","translation: 
  x: -0.1998017578125
  y: 0.047773828125
  z: 0.0654099609375
rotation: 
  x: 0.41838450876744293
  y: 0.6530314378164728
  z: 0.2790857855390647
  w: 0.5662291659362125","translation: 
  x: -0.1966763671875
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.009156846336351093
  y: 0.17422426295964016
  z: 0.689083209631541
  w: 0.7033678899162487","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.08271123046875
rotation: 
  x: 0.007446192197747416
  y: -0.019653064653071057
  z: 0.6911531184204243
  w: 0.7224027119060528"
0,0.045460462,20250509171435453,None,4,3,0,-3,1,-1,-5,6,1746825275452906847,"translation: 
  x: -0.198685546875
  y: 0.06976318359375
  z: 0.06161484375
rotation: 
  x: -0.2543816701294719
  y: -0.12072143558447582
  z: 0.7431264912419505
  w: 0.6070249738742148","translation: 
  x: -0.199578515625
  y: 0.047773828125
  z: 0.0654099609375
rotation: 
  x: 0.4192360653606097
  y: 0.6525383719721778
  z: 0.2784733445217095
  w: 0.566469232170422","translation: 
  x: -0.19656474609375
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.008668406771632825
  y: 0.17422276708619783
  z: 0.6882226615731584
  w: 0.7042164825180022","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.0828228515625
rotation: 
  x: 0.007202012251807173
  y: -0.019652948687134835
  z: 0.6909049041564171
  w: 0.7226425852660759"
0,0.045574426,20250509171435453,None,5,3,3,3,-5,-7,-4,10,1746825275453083992,"translation: 
  x: -0.198685546875
  y: 0.06976318359375
  z: 0.06161484375
rotation: 
  x: -0.2543816701294719
  y: -0.12072143558447582
  z: 0.7431264912419505
  w: 0.6070249738742148","translation: 
  x: -0.199578515625
  y: 0.047773828125
  z: 0.0654099609375
rotation: 
  x: 0.4192360653606097
  y: 0.6525383719721778
  z: 0.2784733445217095
  w: 0.566469232170422","translation: 
  x: -0.19656474609375
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.008668406771632825
  y: 0.17422276708619783
  z: 0.6882226615731584
  w: 0.7042164825180022","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.0828228515625
rotation: 
  x: 0.007202012251807173
  y: -0.019652948687134835
  z: 0.6909049041564171
  w: 0.7226425852660759"
0,0.052629232,20250509171435460,None,2,-1,0,5,-9,-1,-2,-3,1746825275460303306,"translation: 
  x: -0.198685546875
  y: 0.06976318359375
  z: 0.06161484375
rotation: 
  x: -0.2543816701294719
  y: -0.12072143558447582
  z: 0.7431264912419505
  w: 0.6070249738742148","translation: 
  x: -0.199578515625
  y: 0.047773828125
  z: 0.0654099609375
rotation: 
  x: 0.4192360653606097
  y: 0.6525383719721778
  z: 0.2784733445217095
  w: 0.566469232170422","translation: 
  x: -0.19656474609375
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.008668406771632825
  y: 0.17422276708619783
  z: 0.6882226615731584
  w: 0.7042164825180022","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.0828228515625
rotation: 
  x: 0.007202012251807173
  y: -0.019652948687134835
  z: 0.6909049041564171
  w: 0.7226425852660759"
0,0.052842378,20250509171435460,None,5,9,1,-1,2,4,2,-3,1746825275460517406,"translation: 
  x: -0.198685546875
  y: 0.06976318359375
  z: 0.06161484375
rotation: 
  x: -0.2543816701294719
  y: -0.12072143558447582
  z: 0.7431264912419505
  w: 0.6070249738742148","translation: 
  x: -0.199578515625
  y: 0.047773828125
  z: 0.0654099609375
rotation: 
  x: 0.4192360653606097
  y: 0.6525383719721778
  z: 0.2784733445217095
  w: 0.566469232170422","translation: 
  x: -0.19656474609375
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.008668406771632825
  y: 0.17422276708619783
  z: 0.6882226615731584
  w: 0.7042164825180022","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.0828228515625
rotation: 
  x: 0.007202012251807173
  y: -0.019652948687134835
  z: 0.6909049041564171
  w: 0.7226425852660759"
0,0.060162782,20250509171435468,None,-1,5,-3,-20,-17,-2,-6,-8,1746825275467674970,"translation: 
  x: -0.1984623046875
  y: 0.06976318359375
  z: 0.06172646484375
rotation: 
  x: -0.25425828574808496
  y: -0.12047668172508874
  z: 0.7425123150290931
  w: 0.6078762664548549","translation: 
  x: -0.19946689453125
  y: 0.047773828125
  z: 0.06552158203125
rotation: 
  x: 0.42010182930722706
  y: 0.6520673845771287
  z: 0.2779924049208241
  w: 0.5666063905303229","translation: 
  x: -0.196453125
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.008179275264604945
  y: 0.1742063552625561
  z: 0.6874253584326934
  w: 0.7050046963148294","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.0828228515625
rotation: 
  x: 0.006957861210225457
  y: -0.019652906225373655
  z: 0.6907813436608045
  w: 0.7227630916797354"
0,0.060272455,20250509171435468,None,-1,3,-4,-6,-6,-4,1,-8,1746825275467842340,"translation: 
  x: -0.1984623046875
  y: 0.06976318359375
  z: 0.06172646484375
rotation: 
  x: -0.25425828574808496
  y: -0.12047668172508874
  z: 0.7425123150290931
  w: 0.6078762664548549","translation: 
  x: -0.19946689453125
  y: 0.047773828125
  z: 0.06552158203125
rotation: 
  x: 0.42010182930722706
  y: 0.6520673845771287
  z: 0.2779924049208241
  w: 0.5666063905303229","translation: 
  x: -0.196453125
  y: 0.02109638671875
  z: 0.0734466796875
rotation: 
  x: -0.008179275264604945
  y: 0.1742063552625561
  z: 0.6874253584326934
  w: 0.7050046963148294","translation: 
  x: -0.19734609375
  y: -0.0399603515625
  z: 0.0828228515625
rotation: 
  x: 0.006957861210225457
  y: -0.019652906225373655
  z: 0.6907813436608045
  w: 0.7227630916797354"
