gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.006506443,20250509171409116,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.0640705078125
rotation: 
  x: -0.23144894590047618
  y: -0.12036321764655565
  z: 0.7169302000387641
  w: 0.6464945239920475","translation: 
  x: -0.21576357421875
  y: 0.05927080078125
  z: 0.0667494140625
rotation: 
  x: 0.4707464460797397
  y: 0.6257900110489486
  z: 0.2748055627918813
  w: 0.5579126707947123","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.036138558551768285
  y: 0.14235661916000616
  z: 0.665633179811624
  w: 0.7316837209484707","translation: 
  x: -0.220116796875
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620113547704074
  y: -0.031005848748469365
  z: 0.6878659751874995
  w: 0.7250974077397955",2,-2,1,3,-6,-3,-3,-1,1746825249112209320
0,0.006683588,20250509171409116,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.0640705078125
rotation: 
  x: -0.23144894590047618
  y: -0.12036321764655565
  z: 0.7169302000387641
  w: 0.6464945239920475","translation: 
  x: -0.21576357421875
  y: 0.05927080078125
  z: 0.0667494140625
rotation: 
  x: 0.4707464460797397
  y: 0.6257900110489486
  z: 0.2748055627918813
  w: 0.5579126707947123","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.036138558551768285
  y: 0.14235661916000616
  z: 0.665633179811624
  w: 0.7316837209484707","translation: 
  x: -0.220116796875
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620113547704074
  y: -0.031005848748469365
  z: 0.6878659751874995
  w: 0.7250974077397955",-2,9,1,-5,-6,2,3,-3,1746825249112412691
0,0.010989189,20250509171409120,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.0640705078125
rotation: 
  x: -0.23144894590047618
  y: -0.12036321764655565
  z: 0.7169302000387641
  w: 0.6464945239920475","translation: 
  x: -0.21576357421875
  y: 0.05927080078125
  z: 0.0667494140625
rotation: 
  x: 0.4707464460797397
  y: 0.6257900110489486
  z: 0.2748055627918813
  w: 0.5579126707947123","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.036138558551768285
  y: 0.14235661916000616
  z: 0.665633179811624
  w: 0.7316837209484707","translation: 
  x: -0.220116796875
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620113547704074
  y: -0.031005848748469365
  z: 0.6878659751874995
  w: 0.7250974077397955",1,4,-3,3,4,2,-5,6,1746825249119947433
0,0.011169195,20250509171409120,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.0640705078125
rotation: 
  x: -0.23144894590047618
  y: -0.12036321764655565
  z: 0.7169302000387641
  w: 0.6464945239920475","translation: 
  x: -0.21576357421875
  y: 0.05927080078125
  z: 0.0667494140625
rotation: 
  x: 0.4707464460797397
  y: 0.6257900110489486
  z: 0.2748055627918813
  w: 0.5579126707947123","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.036138558551768285
  y: 0.14235661916000616
  z: 0.665633179811624
  w: 0.7316837209484707","translation: 
  x: -0.220116796875
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620113547704074
  y: -0.031005848748469365
  z: 0.6878659751874995
  w: 0.7250974077397955",-1,1,5,-2,-6,0,2,-9,1746825249120131254
0,0.018515348,20250509171409128,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.0640705078125
rotation: 
  x: -0.23144894590047618
  y: -0.12036321764655565
  z: 0.7169302000387641
  w: 0.6464945239920475","translation: 
  x: -0.215651953125
  y: 0.05927080078125
  z: 0.0667494140625
rotation: 
  x: 0.4707464460797397
  y: 0.6257900110489486
  z: 0.2748055627918813
  w: 0.5579126707947123","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.03613918639707373
  y: 0.1422370005155098
  z: 0.6656447440433987
  w: 0.7316964326948072","translation: 
  x: -0.220116796875
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620073272820711
  y: -0.031127800972060703
  z: 0.6878633665786748
  w: 0.725094657937414",5,-1,4,6,-7,3,-1,5,1746825249127561330
0,0.018844127,20250509171409128,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.0640705078125
rotation: 
  x: -0.23144894590047618
  y: -0.12036321764655565
  z: 0.7169302000387641
  w: 0.6464945239920475","translation: 
  x: -0.215651953125
  y: 0.05927080078125
  z: 0.0667494140625
rotation: 
  x: 0.4707464460797397
  y: 0.6257900110489486
  z: 0.2748055627918813
  w: 0.5579126707947123","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.03613918639707373
  y: 0.1422370005155098
  z: 0.6656447440433987
  w: 0.7316964326948072","translation: 
  x: -0.220116796875
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620073272820711
  y: -0.031127800972060703
  z: 0.6878633665786748
  w: 0.725094657937414",3,2,11,10,9,9,1,4,1746825249127722740
0,0.034085035,20250509171409143,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.06418212890625
rotation: 
  x: -0.231445543570208
  y: -0.12048351872563041
  z: 0.7169196610695313
  w: 0.6464850204366146","translation: 
  x: -0.215651953125
  y: 0.05927080078125
  z: 0.06686103515625
rotation: 
  x: 0.47065140988208914
  y: 0.6258259732958726
  z: 0.2748213550310202
  w: 0.5579447323375222","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.03613624946148564
  y: 0.1422254412926715
  z: 0.6657127307887877
  w: 0.7316369696712278","translation: 
  x: -0.22000517578125
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620073272820711
  y: -0.031127800972060703
  z: 0.6878633665786748
  w: 0.725094657937414",-6,3,-3,-2,16,-5,1,-2,1746825249142547607
0,0.034197569,20250509171409143,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.06418212890625
rotation: 
  x: -0.231445543570208
  y: -0.12048351872563041
  z: 0.7169196610695313
  w: 0.6464850204366146","translation: 
  x: -0.215651953125
  y: 0.05927080078125
  z: 0.06686103515625
rotation: 
  x: 0.47065140988208914
  y: 0.6258259732958726
  z: 0.2748213550310202
  w: 0.5579447323375222","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.03613624946148564
  y: 0.1422254412926715
  z: 0.6657127307887877
  w: 0.7316369696712278","translation: 
  x: -0.22000517578125
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620073272820711
  y: -0.031127800972060703
  z: 0.6878633665786748
  w: 0.725094657937414",1,-5,-11,-4,-12,-2,-3,-3,1746825249142772197
0,0.041615248,20250509171409151,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.06418212890625
rotation: 
  x: -0.231445543570208
  y: -0.12048351872563041
  z: 0.7169196610695313
  w: 0.6464850204366146","translation: 
  x: -0.215651953125
  y: 0.05927080078125
  z: 0.06686103515625
rotation: 
  x: 0.47065140988208914
  y: 0.6258259732958726
  z: 0.2748213550310202
  w: 0.5579447323375222","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.03613624946148564
  y: 0.1422254412926715
  z: 0.6657127307887877
  w: 0.7316369696712278","translation: 
  x: -0.22000517578125
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620073272820711
  y: -0.031127800972060703
  z: 0.6878633665786748
  w: 0.725094657937414",5,-12,-7,-1,-1,10,-6,7,1746825249150135517
0,0.041785717,20250509171409151,None,"translation: 
  x: -0.212973046875
  y: 0.0814833984375
  z: 0.06418212890625
rotation: 
  x: -0.231445543570208
  y: -0.12048351872563041
  z: 0.7169196610695313
  w: 0.6464850204366146","translation: 
  x: -0.215651953125
  y: 0.05927080078125
  z: 0.06686103515625
rotation: 
  x: 0.47065140988208914
  y: 0.6258259732958726
  z: 0.2748213550310202
  w: 0.5579447323375222","translation: 
  x: -0.21487060546875
  y: 0.0314771484375
  z: 0.072776953125
rotation: 
  x: 0.03613624946148564
  y: 0.1422254412926715
  z: 0.6657127307887877
  w: 0.7316369696712278","translation: 
  x: -0.22000517578125
  y: -0.0301376953125
  z: 0.07846962890625
rotation: 
  x: -0.010620073272820711
  y: -0.031127800972060703
  z: 0.6878633665786748
  w: 0.725094657937414",7,3,-6,-7,-5,1,-2,4,1746825249150335788
