gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.021573782,20250509171550821,None,-3,-1,-1,-5,3,-1,-1,-3,1746825350821343660,,,,
0,0.022020579,20250509171550822,None,0,0,-3,-4,1,-1,-9,3,1746825350821526288,,,,
0,0.029071332,20250509171550829,None,2,-4,-8,-8,-2,-13,-1,-3,1746825350828496694,"translation: 
  x: -0.21844248046875
  y: -0.0011162109375
  z: 0.06507509765625
rotation: 
  x: -0.05737839047535462
  y: 0.2970247319713569
  z: 0.869954064951866
  w: 0.38944056514123665","translation: 
  x: -0.20582929687499998
  y: -0.01841748046875
  z: 0.07489775390625
rotation: 
  x: 0.3898204113037138
  y: 0.8373874729508842
  z: 0.1284344104890407
  w: 0.3610081291027503","translation: 
  x: -0.196899609375
  y: -0.0497830078125
  z: 0.08427392578125
rotation: 
  x: 0.42461000933912857
  y: 0.3574635156253503
  z: 0.4957852926757335
  w: 0.6679244856510558","translation: 
  x: -0.2286
  y: -0.1024681640625
  z: 0.07288857421875
rotation: 
  x: 0.3571696313530896
  y: -0.1752889920106072
  z: 0.41063521526718844
  w: 0.8204159577320965"
0,0.029398442,20250509171550829,None,1,-1,0,6,4,1,5,0,1746825350828671693,"translation: 
  x: -0.21844248046875
  y: -0.0011162109375
  z: 0.06507509765625
rotation: 
  x: -0.05737839047535462
  y: 0.2970247319713569
  z: 0.869954064951866
  w: 0.38944056514123665","translation: 
  x: -0.20582929687499998
  y: -0.01841748046875
  z: 0.07489775390625
rotation: 
  x: 0.3898204113037138
  y: 0.8373874729508842
  z: 0.1284344104890407
  w: 0.3610081291027503","translation: 
  x: -0.196899609375
  y: -0.0497830078125
  z: 0.08427392578125
rotation: 
  x: 0.42461000933912857
  y: 0.3574635156253503
  z: 0.4957852926757335
  w: 0.6679244856510558","translation: 
  x: -0.2286
  y: -0.1024681640625
  z: 0.07288857421875
rotation: 
  x: 0.3571696313530896
  y: -0.1752889920106072
  z: 0.41063521526718844
  w: 0.8204159577320965"
0,0.044156075,20250509171550844,None,-1,-4,-2,-11,-3,-3,-6,0,1746825350843696355,"translation: 
  x: -0.2181076171875
  y: -0.0011162109375
  z: 0.06507509765625
rotation: 
  x: -0.06055402815542214
  y: 0.294468378852577
  z: 0.8691212226581656
  w: 0.3927465898709536","translation: 
  x: -0.20582929687499998
  y: -0.0185291015625
  z: 0.07489775390625
rotation: 
  x: 0.39065964107609774
  y: 0.8358895507650128
  z: 0.12879560041727595
  w: 0.36343554733860717","translation: 
  x: -0.196899609375
  y: -0.04989462890625
  z: 0.08427392578125
rotation: 
  x: 0.42316140938766145
  y: 0.3554018646068905
  z: 0.49665914985256976
  w: 0.6692933774561916","translation: 
  x: -0.2286
  y: -0.1024681640625
  z: 0.07288857421875
rotation: 
  x: 0.3558467804736908
  y: -0.1771299068498543
  z: 0.41065817135968974
  w: 0.820583896516003"
0,0.044505597,20250509171550844,None,1,0,-9,3,6,-9,2,-4,1746825350843886137,"translation: 
  x: -0.2181076171875
  y: -0.0011162109375
  z: 0.06507509765625
rotation: 
  x: -0.06055402815542214
  y: 0.294468378852577
  z: 0.8691212226581656
  w: 0.3927465898709536","translation: 
  x: -0.20582929687499998
  y: -0.0185291015625
  z: 0.07489775390625
rotation: 
  x: 0.39065964107609774
  y: 0.8358895507650128
  z: 0.12879560041727595
  w: 0.36343554733860717","translation: 
  x: -0.196899609375
  y: -0.04989462890625
  z: 0.08427392578125
rotation: 
  x: 0.42316140938766145
  y: 0.3554018646068905
  z: 0.49665914985256976
  w: 0.6692933774561916","translation: 
  x: -0.2286
  y: -0.1024681640625
  z: 0.07288857421875
rotation: 
  x: 0.3558467804736908
  y: -0.1771299068498543
  z: 0.41065817135968974
  w: 0.820583896516003"
0,0.051438332,20250509171550851,None,10,-1,1,-4,4,-5,-7,-2,1746825350851021289,"translation: 
  x: -0.2181076171875
  y: -0.0011162109375
  z: 0.06507509765625
rotation: 
  x: -0.06055402815542214
  y: 0.294468378852577
  z: 0.8691212226581656
  w: 0.3927465898709536","translation: 
  x: -0.20582929687499998
  y: -0.0185291015625
  z: 0.07489775390625
rotation: 
  x: 0.39065964107609774
  y: 0.8358895507650128
  z: 0.12879560041727595
  w: 0.36343554733860717","translation: 
  x: -0.196899609375
  y: -0.04989462890625
  z: 0.08427392578125
rotation: 
  x: 0.42316140938766145
  y: 0.3554018646068905
  z: 0.49665914985256976
  w: 0.6692933774561916","translation: 
  x: -0.2286
  y: -0.1024681640625
  z: 0.07288857421875
rotation: 
  x: 0.3558467804736908
  y: -0.1771299068498543
  z: 0.41065817135968974
  w: 0.820583896516003"
0,0.052578688,20250509171550852,None,-7,-2,-5,-4,2,-6,-3,0,1746825350851221561,"translation: 
  x: -0.217884375
  y: -0.00100458984375
  z: 0.06507509765625
rotation: 
  x: -0.06226405615925327
  y: 0.2927631503331164
  z: 0.8685225402292702
  w: 0.39507154064969335","translation: 
  x: -0.20571767578125
  y: -0.0185291015625
  z: 0.075009375
rotation: 
  x: 0.3916286732848808
  y: 0.8345304272367348
  z: 0.1291593317753753
  w: 0.3653817391339303","translation: 
  x: -0.196899609375
  y: -0.04989462890625
  z: 0.084385546875
rotation: 
  x: 0.42194970888404065
  y: 0.35370032020748426
  z: 0.49740252141017977
  w: 0.6704067857298226","translation: 
  x: -0.22871162109374998
  y: -0.1024681640625
  z: 0.072776953125
rotation: 
  x: 0.3547764053113997
  y: -0.17860904369255942
  z: 0.41056884069588334
  w: 0.8207714290807089"
0,0.059189559,20250509171550859,None,-6,1,-3,-8,6,6,6,-5,1746825350858700990,"translation: 
  x: -0.217884375
  y: -0.00100458984375
  z: 0.06507509765625
rotation: 
  x: -0.06226405615925327
  y: 0.2927631503331164
  z: 0.8685225402292702
  w: 0.39507154064969335","translation: 
  x: -0.20571767578125
  y: -0.0185291015625
  z: 0.075009375
rotation: 
  x: 0.3916286732848808
  y: 0.8345304272367348
  z: 0.1291593317753753
  w: 0.3653817391339303","translation: 
  x: -0.196899609375
  y: -0.04989462890625
  z: 0.084385546875
rotation: 
  x: 0.42194970888404065
  y: 0.35370032020748426
  z: 0.49740252141017977
  w: 0.6704067857298226","translation: 
  x: -0.22871162109374998
  y: -0.1024681640625
  z: 0.072776953125
rotation: 
  x: 0.3547764053113997
  y: -0.17860904369255942
  z: 0.41056884069588334
  w: 0.8207714290807089"
0,0.059480429,20250509171550859,None,8,-6,-1,-1,2,2,2,4,1746825350858982086,"translation: 
  x: -0.217884375
  y: -0.00100458984375
  z: 0.06507509765625
rotation: 
  x: -0.06226405615925327
  y: 0.2927631503331164
  z: 0.8685225402292702
  w: 0.39507154064969335","translation: 
  x: -0.20571767578125
  y: -0.0185291015625
  z: 0.075009375
rotation: 
  x: 0.3916286732848808
  y: 0.8345304272367348
  z: 0.1291593317753753
  w: 0.3653817391339303","translation: 
  x: -0.196899609375
  y: -0.04989462890625
  z: 0.084385546875
rotation: 
  x: 0.42194970888404065
  y: 0.35370032020748426
  z: 0.49740252141017977
  w: 0.6704067857298226","translation: 
  x: -0.22871162109374998
  y: -0.1024681640625
  z: 0.072776953125
rotation: 
  x: 0.3547764053113997
  y: -0.17860904369255942
  z: 0.41056884069588334
  w: 0.8207714290807089"
0,0.074350119,20250509171550874,None,0,-3,11,0,-9,-1,3,10,1746825350873807191,"translation: 
  x: -0.21777275390625
  y: -0.00100458984375
  z: 0.06518671875
rotation: 
  x: -0.0628772434833507
  y: 0.29143297125195755
  z: 0.8681943270099163
  w: 0.3966760467522455","translation: 
  x: -0.2056060546875
  y: -0.0185291015625
  z: 0.07512099609375
rotation: 
  x: 0.39274488058327106
  y: 0.8332246844826935
  z: 0.12965342343159272
  w: 0.36698511378094895","translation: 
  x: -0.196899609375
  y: -0.04989462890625
  z: 0.084385546875
rotation: 
  x: 0.42121370712154194
  y: 0.35211024096768895
  z: 0.498008901840223
  w: 0.6712559309432573","translation: 
  x: -0.2286
  y: -0.1024681640625
  z: 0.072776953125
rotation: 
  x: 0.3539083158989929
  y: -0.179945104392934
  z: 0.4105531791542992
  w: 0.8208621994152566"
