gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.004128933,20250509171607563,None,"translation: 
  x: -0.22179111328125
  y: -0.0051345703125
  z: 0.06418212890625
rotation: 
  x: -0.027102348871884806
  y: 0.29336461414026666
  z: 0.8837563219980817
  w: 0.36356213937149984","translation: 
  x: -0.20783847656249999
  y: -0.021877734375
  z: 0.07266533203125
rotation: 
  x: 0.37941946245861946
  y: 0.862117195586477
  z: 0.10205748732799418
  w: 0.3199673137400391","translation: 
  x: -0.1962298828125
  y: -0.052238671874999996
  z: 0.082153125
rotation: 
  x: 0.4199426070481633
  y: 0.4343476150806294
  z: 0.48281192176612964
  w: 0.6339424297677653","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.0761255859375
rotation: 
  x: 0.36780224983498916
  y: -0.1610126676177732
  z: 0.3741499819927785
  w: 0.8359474964719569",3,4,2,0,-6,-10,-3,-5,1746825367560856342
0,0.004359722,20250509171607563,None,"translation: 
  x: -0.22179111328125
  y: -0.0051345703125
  z: 0.06418212890625
rotation: 
  x: -0.027102348871884806
  y: 0.29336461414026666
  z: 0.8837563219980817
  w: 0.36356213937149984","translation: 
  x: -0.20783847656249999
  y: -0.021877734375
  z: 0.07266533203125
rotation: 
  x: 0.37941946245861946
  y: 0.862117195586477
  z: 0.10205748732799418
  w: 0.3199673137400391","translation: 
  x: -0.1962298828125
  y: -0.052238671874999996
  z: 0.082153125
rotation: 
  x: 0.4199426070481633
  y: 0.4343476150806294
  z: 0.48281192176612964
  w: 0.6339424297677653","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.0761255859375
rotation: 
  x: 0.36780224983498916
  y: -0.1610126676177732
  z: 0.3741499819927785
  w: 0.8359474964719569",3,0,-11,-5,-7,3,-4,3,1746825367560992479
0,0.017986059,20250509171607576,None,"translation: 
  x: -0.221902734375
  y: -0.00524619140625
  z: 0.06418212890625
rotation: 
  x: -0.029908881407215728
  y: 0.2942057313934282
  z: 0.8846925043187446
  w: 0.36037150169020754","translation: 
  x: -0.20772685546875
  y: -0.021877734375
  z: 0.072776953125
rotation: 
  x: 0.3765010964716073
  y: 0.8622656434432432
  z: 0.10425808572851901
  w: 0.3222966584581852","translation: 
  x: -0.19611826171875
  y: -0.052238671874999996
  z: 0.08226474609375
rotation: 
  x: 0.42024899794213283
  y: 0.4309933070121234
  z: 0.4839822858345771
  w: 0.635135179341945","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.07601396484375
rotation: 
  x: 0.36806593054525627
  y: -0.16089913647052992
  z: 0.37465815616696235
  w: 0.8356256366773727",-5,-1,-1,-11,-5,-4,-9,-4,1746825367576133966
0,0.018276215,20250509171607577,None,"translation: 
  x: -0.221902734375
  y: -0.00524619140625
  z: 0.06418212890625
rotation: 
  x: -0.029908881407215728
  y: 0.2942057313934282
  z: 0.8846925043187446
  w: 0.36037150169020754","translation: 
  x: -0.20772685546875
  y: -0.021877734375
  z: 0.072776953125
rotation: 
  x: 0.3765010964716073
  y: 0.8622656434432432
  z: 0.10425808572851901
  w: 0.3222966584581852","translation: 
  x: -0.19611826171875
  y: -0.052238671874999996
  z: 0.08226474609375
rotation: 
  x: 0.42024899794213283
  y: 0.4309933070121234
  z: 0.4839822858345771
  w: 0.635135179341945","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.07601396484375
rotation: 
  x: 0.36806593054525627
  y: -0.16089913647052992
  z: 0.37465815616696235
  w: 0.8356256366773727",-4,1,0,-8,-9,2,-2,3,1746825367576309442
0,0.025207997,20250509171607584,None,"translation: 
  x: -0.221902734375
  y: -0.00524619140625
  z: 0.06418212890625
rotation: 
  x: -0.029908881407215728
  y: 0.2942057313934282
  z: 0.8846925043187446
  w: 0.36037150169020754","translation: 
  x: -0.20772685546875
  y: -0.021877734375
  z: 0.072776953125
rotation: 
  x: 0.3765010964716073
  y: 0.8622656434432432
  z: 0.10425808572851901
  w: 0.3222966584581852","translation: 
  x: -0.19611826171875
  y: -0.052238671874999996
  z: 0.08226474609375
rotation: 
  x: 0.42024899794213283
  y: 0.4309933070121234
  z: 0.4839822858345771
  w: 0.635135179341945","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.07601396484375
rotation: 
  x: 0.36806593054525627
  y: -0.16089913647052992
  z: 0.37465815616696235
  w: 0.8356256366773727",0,2,0,-5,-2,-4,0,-3,1746825367583396673
0,0.025422097,20250509171607584,None,"translation: 
  x: -0.221902734375
  y: -0.00524619140625
  z: 0.06418212890625
rotation: 
  x: -0.029908881407215728
  y: 0.2942057313934282
  z: 0.8846925043187446
  w: 0.36037150169020754","translation: 
  x: -0.20772685546875
  y: -0.021877734375
  z: 0.072776953125
rotation: 
  x: 0.3765010964716073
  y: 0.8622656434432432
  z: 0.10425808572851901
  w: 0.3222966584581852","translation: 
  x: -0.19611826171875
  y: -0.052238671874999996
  z: 0.08226474609375
rotation: 
  x: 0.42024899794213283
  y: 0.4309933070121234
  z: 0.4839822858345771
  w: 0.635135179341945","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.07601396484375
rotation: 
  x: 0.36806593054525627
  y: -0.16089913647052992
  z: 0.37465815616696235
  w: 0.8356256366773727",-9,2,-6,3,5,-7,-1,1,1746825367583581209
0,0.040151596,20250509171607599,None,"translation: 
  x: -0.22201435546875
  y: -0.0053578125
  z: 0.06418212890625
rotation: 
  x: -0.033206598053826274
  y: 0.29507480697094896
  z: 0.8857127532371678
  w: 0.35684884599755223","translation: 
  x: -0.20772685546875
  y: -0.021877734375
  z: 0.07288857421875
rotation: 
  x: 0.3727268656228848
  y: 0.8625336736409043
  z: 0.10682476495906462
  w: 0.3251135418125589","translation: 
  x: -0.19611826171875
  y: -0.052238671874999996
  z: 0.08248798828125
rotation: 
  x: 0.42082058118851884
  y: 0.4269247381538295
  z: 0.4854025618815059
  w: 0.6364194052032922","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.07590234375
rotation: 
  x: 0.3684194712717667
  y: -0.1605273706833576
  z: 0.37562183999444204
  w: 0.8351085496919006",4,1,-1,-1,-10,3,3,2,1746825367598554134
0,0.040393114,20250509171607599,None,"translation: 
  x: -0.22201435546875
  y: -0.0053578125
  z: 0.06418212890625
rotation: 
  x: -0.033206598053826274
  y: 0.29507480697094896
  z: 0.8857127532371678
  w: 0.35684884599755223","translation: 
  x: -0.20772685546875
  y: -0.021877734375
  z: 0.07288857421875
rotation: 
  x: 0.3727268656228848
  y: 0.8625336736409043
  z: 0.10682476495906462
  w: 0.3251135418125589","translation: 
  x: -0.19611826171875
  y: -0.052238671874999996
  z: 0.08248798828125
rotation: 
  x: 0.42082058118851884
  y: 0.4269247381538295
  z: 0.4854025618815059
  w: 0.6364194052032922","translation: 
  x: -0.22670244140625
  y: -0.10570517578125
  z: 0.07590234375
rotation: 
  x: 0.3684194712717667
  y: -0.1605273706833576
  z: 0.37562183999444204
  w: 0.8351085496919006",0,-3,-5,8,3,3,-2,1,1746825367598896741
0,0.047907114,20250509171607606,None,"translation: 
  x: -0.2221259765625
  y: -0.00546943359375
  z: 0.06418212890625
rotation: 
  x: -0.036870295889387554
  y: 0.2959390636949518
  z: 0.8865963203600412
  w: 0.35356416190618","translation: 
  x: -0.20772685546875
  y: -0.02176611328125
  z: 0.0730001953125
rotation: 
  x: 0.36929799029005017
  y: 0.8628754364859753
  z: 0.10889712639296688
  w: 0.32742387106046766","translation: 
  x: -0.19611826171875
  y: -0.052127050781249996
  z: 0.08271123046875
rotation: 
  x: 0.42132235525514167
  y: 0.42315366076914557
  z: 0.486638918587944
  w: 0.6376605799761245","translation: 
  x: -0.22670244140625
  y: -0.1055935546875
  z: 0.07579072265625
rotation: 
  x: 0.3684123369462209
  y: -0.1600359753931397
  z: 0.37695735470176617
  w: 0.8346040913523234",6,1,2,2,5,0,1,-4,1746825367606250047
0,0.048025608,20250509171607606,None,"translation: 
  x: -0.2221259765625
  y: -0.00546943359375
  z: 0.06418212890625
rotation: 
  x: -0.036870295889387554
  y: 0.2959390636949518
  z: 0.8865963203600412
  w: 0.35356416190618","translation: 
  x: -0.20772685546875
  y: -0.02176611328125
  z: 0.0730001953125
rotation: 
  x: 0.36929799029005017
  y: 0.8628754364859753
  z: 0.10889712639296688
  w: 0.32742387106046766","translation: 
  x: -0.19611826171875
  y: -0.052127050781249996
  z: 0.08271123046875
rotation: 
  x: 0.42132235525514167
  y: 0.42315366076914557
  z: 0.486638918587944
  w: 0.6376605799761245","translation: 
  x: -0.22670244140625
  y: -0.1055935546875
  z: 0.07579072265625
rotation: 
  x: 0.3684123369462209
  y: -0.1600359753931397
  z: 0.37695735470176617
  w: 0.8346040913523234",-2,-4,-3,5,4,1,9,3,1746825367606560707
