gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.022803307,20250509171506331,None,"translation: 
  x: -0.210294140625
  y: -0.00926455078125
  z: 0.0696515625
rotation: 
  x: 0.049687110851889885
  y: 0.2566150049402273
  z: 0.9190284287297958
  w: 0.2950706312752281","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.46561507948711517
  y: 0.8494362147538927
  z: 0.10584380543139194
  w: 0.22462814532152384","translation: 
  x: -0.18964423828125
  y: -0.0600521484375
  z: 0.0765720703125
rotation: 
  x: 0.5855159808838
  y: 0.2964205174282457
  z: 0.3711360679496981
  w: 0.6569352571175411","translation: 
  x: -0.2332880859375
  y: -0.1024681640625
  z: 0.0689818359375
rotation: 
  x: 0.4116356342957256
  y: -0.07532004340464492
  z: 0.3411985758767951
  w: 0.8417045369125231",2,4,-4,0,-5,-3,1,0,1746825306330665826
0,0.022927523,20250509171506331,None,"translation: 
  x: -0.210294140625
  y: -0.00926455078125
  z: 0.0696515625
rotation: 
  x: 0.049687110851889885
  y: 0.2566150049402273
  z: 0.9190284287297958
  w: 0.2950706312752281","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.46561507948711517
  y: 0.8494362147538927
  z: 0.10584380543139194
  w: 0.22462814532152384","translation: 
  x: -0.18964423828125
  y: -0.0600521484375
  z: 0.0765720703125
rotation: 
  x: 0.5855159808838
  y: 0.2964205174282457
  z: 0.3711360679496981
  w: 0.6569352571175411","translation: 
  x: -0.2332880859375
  y: -0.1024681640625
  z: 0.0689818359375
rotation: 
  x: 0.4116356342957256
  y: -0.07532004340464492
  z: 0.3411985758767951
  w: 0.8417045369125231",1,2,2,-2,-4,2,9,3,1746825306330809831
0,0.037299156,20250509171506346,None,"translation: 
  x: -0.21018251953125
  y: -0.00926455078125
  z: 0.0696515625
rotation: 
  x: 0.04920258705527992
  y: 0.25614647057562595
  z: 0.9190994425611593
  w: 0.29533761311841716","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.4658485486566824
  y: 0.8492946417726782
  z: 0.10596345393972754
  w: 0.22462298991831645","translation: 
  x: -0.18964423828125
  y: -0.06016376953125
  z: 0.0765720703125
rotation: 
  x: 0.5857352864764721
  y: 0.295797540461128
  z: 0.3711203148996406
  w: 0.6570294522335083","translation: 
  x: -0.2332880859375
  y: -0.1024681640625
  z: 0.0689818359375
rotation: 
  x: 0.4116356342957256
  y: -0.07532004340464492
  z: 0.3411985758767951
  w: 0.8417045369125231",2,0,1,0,-4,-11,0,-3,1746825306345578432
0,0.037453413,20250509171506346,None,"translation: 
  x: -0.21018251953125
  y: -0.00926455078125
  z: 0.0696515625
rotation: 
  x: 0.04920258705527992
  y: 0.25614647057562595
  z: 0.9190994425611593
  w: 0.29533761311841716","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.4658485486566824
  y: 0.8492946417726782
  z: 0.10596345393972754
  w: 0.22462298991831645","translation: 
  x: -0.18964423828125
  y: -0.06016376953125
  z: 0.0765720703125
rotation: 
  x: 0.5857352864764721
  y: 0.295797540461128
  z: 0.3711203148996406
  w: 0.6570294522335083","translation: 
  x: -0.2332880859375
  y: -0.1024681640625
  z: 0.0689818359375
rotation: 
  x: 0.4116356342957256
  y: -0.07532004340464492
  z: 0.3411985758767951
  w: 0.8417045369125231",2,-2,-6,-3,0,-3,1,-7,1746825306345793962
0,0.045023918,20250509171506353,None,"translation: 
  x: -0.20995927734375
  y: -0.009376171875
  z: 0.06976318359375
rotation: 
  x: 0.04895584524307685
  y: 0.2555226536003986
  z: 0.9191734634292409
  w: 0.29568842189210004","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.466075214622656
  y: 0.8491407000825548
  z: 0.10595947781363681
  w: 0.2247366343950523","translation: 
  x: -0.18942099609375
  y: -0.06038701171875
  z: 0.07668369140625
rotation: 
  x: 0.5872352255853535
  y: 0.2916642315849085
  z: 0.3706540841740402
  w: 0.6578011217159845","translation: 
  x: -0.2332880859375
  y: -0.10235654296875
  z: 0.06887021484375
rotation: 
  x: 0.41153044951428586
  y: -0.07544521441703607
  z: 0.3412125797663687
  w: 0.8417390831803623",2,-3,1,-3,-14,-3,-6,-2,1746825306353149414
0,0.045117855,20250509171506353,None,"translation: 
  x: -0.20995927734375
  y: -0.009376171875
  z: 0.06976318359375
rotation: 
  x: 0.04895584524307685
  y: 0.2555226536003986
  z: 0.9191734634292409
  w: 0.29568842189210004","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.466075214622656
  y: 0.8491407000825548
  z: 0.10595947781363681
  w: 0.2247366343950523","translation: 
  x: -0.18942099609375
  y: -0.06038701171875
  z: 0.07668369140625
rotation: 
  x: 0.5872352255853535
  y: 0.2916642315849085
  z: 0.3706540841740402
  w: 0.6578011217159845","translation: 
  x: -0.2332880859375
  y: -0.10235654296875
  z: 0.06887021484375
rotation: 
  x: 0.41153044951428586
  y: -0.07544521441703607
  z: 0.3412125797663687
  w: 0.8417390831803623",0,-2,2,1,2,-6,-3,-4,1746825306353306055
0,0.052157641,20250509171506360,None,"translation: 
  x: -0.20995927734375
  y: -0.009376171875
  z: 0.06976318359375
rotation: 
  x: 0.04895584524307685
  y: 0.2555226536003986
  z: 0.9191734634292409
  w: 0.29568842189210004","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.466075214622656
  y: 0.8491407000825548
  z: 0.10595947781363681
  w: 0.2247366343950523","translation: 
  x: -0.18942099609375
  y: -0.06038701171875
  z: 0.07668369140625
rotation: 
  x: 0.5872352255853535
  y: 0.2916642315849085
  z: 0.3706540841740402
  w: 0.6578011217159845","translation: 
  x: -0.2332880859375
  y: -0.10235654296875
  z: 0.06887021484375
rotation: 
  x: 0.41153044951428586
  y: -0.07544521441703607
  z: 0.3412125797663687
  w: 0.8417390831803623",5,-7,-2,-5,5,2,3,-4,1746825306360529661
0,0.052330732,20250509171506361,None,"translation: 
  x: -0.20995927734375
  y: -0.009376171875
  z: 0.06976318359375
rotation: 
  x: 0.04895584524307685
  y: 0.2555226536003986
  z: 0.9191734634292409
  w: 0.29568842189210004","translation: 
  x: -0.19377421875
  y: -0.02623095703125
  z: 0.0738931640625
rotation: 
  x: 0.466075214622656
  y: 0.8491407000825548
  z: 0.10595947781363681
  w: 0.2247366343950523","translation: 
  x: -0.18942099609375
  y: -0.06038701171875
  z: 0.07668369140625
rotation: 
  x: 0.5872352255853535
  y: 0.2916642315849085
  z: 0.3706540841740402
  w: 0.6578011217159845","translation: 
  x: -0.2332880859375
  y: -0.10235654296875
  z: 0.06887021484375
rotation: 
  x: 0.41153044951428586
  y: -0.07544521441703607
  z: 0.3412125797663687
  w: 0.8417390831803623",-1,-1,6,2,-4,-6,3,2,1746825306360712766
0,0.0674119,20250509171506376,None,"translation: 
  x: -0.20984765625
  y: -0.009376171875
  z: 0.06976318359375
rotation: 
  x: 0.04883704194528025
  y: 0.2551735441640893
  z: 0.9191131294101743
  w: 0.29619665939812473","translation: 
  x: -0.1935509765625
  y: -0.026342578125
  z: 0.07400478515625
rotation: 
  x: 0.4668167699040807
  y: 0.8486689812691341
  z: 0.10620569817378406
  w: 0.22486309889208073","translation: 
  x: -0.18919775390625
  y: -0.06061025390625
  z: 0.07690693359375
rotation: 
  x: 0.5888234185451224
  y: 0.2869033866019154
  z: 0.3696780658002552
  w: 0.6590231833519741","translation: 
  x: -0.2332880859375
  y: -0.10235654296875
  z: 0.06887021484375
rotation: 
  x: 0.41153044951428586
  y: -0.07544521441703607
  z: 0.3412125797663687
  w: 0.8417390831803623",4,-2,2,-1,-2,4,5,-3,1746825306375694990
0,0.06761694,20250509171506376,None,"translation: 
  x: -0.20984765625
  y: -0.009376171875
  z: 0.06976318359375
rotation: 
  x: 0.04883704194528025
  y: 0.2551735441640893
  z: 0.9191131294101743
  w: 0.29619665939812473","translation: 
  x: -0.1935509765625
  y: -0.026342578125
  z: 0.07400478515625
rotation: 
  x: 0.4668167699040807
  y: 0.8486689812691341
  z: 0.10620569817378406
  w: 0.22486309889208073","translation: 
  x: -0.18919775390625
  y: -0.06061025390625
  z: 0.07690693359375
rotation: 
  x: 0.5888234185451224
  y: 0.2869033866019154
  z: 0.3696780658002552
  w: 0.6590231833519741","translation: 
  x: -0.2332880859375
  y: -0.10235654296875
  z: 0.06887021484375
rotation: 
  x: 0.41153044951428586
  y: -0.07544521441703607
  z: 0.3412125797663687
  w: 0.8417390831803623",-5,3,-1,-4,-4,-7,-5,-8,1746825306376009225
