gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.014569521,20250509171528359,None,"translation: 
  x: -0.22759541015625
  y: -0.00055810546875
  z: 0.07266533203125
rotation: 
  x: 0.06446071899284304
  y: 0.33963962166304806
  z: 0.8956133229763195
  w: 0.2799402057776309","translation: 
  x: -0.21062900390625
  y: -0.0162966796875
  z: 0.07713017578125
rotation: 
  x: 0.3899183502793424
  y: 0.8821383841949054
  z: 0.1170731677889447
  w: 0.23683205996929374","translation: 
  x: -0.19812744140625
  y: -0.047773828125
  z: 0.082153125
rotation: 
  x: 0.483837093668768
  y: 0.4280426067127683
  z: 0.4832266507042603
  w: 0.5909087896434109","translation: 
  x: -0.22737216796875
  y: -0.1020216796875
  z: 0.0730001953125
rotation: 
  x: 0.42447519894492597
  y: -0.10279209591936371
  z: 0.4177607508741836
  w: 0.7966997838120756",-11,0,-5,-9,-7,-3,4,-2,1746825328358019351
0,0.014903546,20250509171528359,None,"translation: 
  x: -0.22759541015625
  y: -0.00055810546875
  z: 0.07266533203125
rotation: 
  x: 0.06446071899284304
  y: 0.33963962166304806
  z: 0.8956133229763195
  w: 0.2799402057776309","translation: 
  x: -0.21062900390625
  y: -0.0162966796875
  z: 0.07713017578125
rotation: 
  x: 0.3899183502793424
  y: 0.8821383841949054
  z: 0.1170731677889447
  w: 0.23683205996929374","translation: 
  x: -0.19812744140625
  y: -0.047773828125
  z: 0.082153125
rotation: 
  x: 0.483837093668768
  y: 0.4280426067127683
  z: 0.4832266507042603
  w: 0.5909087896434109","translation: 
  x: -0.22737216796875
  y: -0.1020216796875
  z: 0.0730001953125
rotation: 
  x: 0.42447519894492597
  y: -0.10279209591936371
  z: 0.4177607508741836
  w: 0.7966997838120756",-4,-5,6,10,15,7,-2,10,1746825328358196258
0,0.029337406,20250509171528373,None,"translation: 
  x: -0.22770703125
  y: -0.00055810546875
  z: 0.072776953125
rotation: 
  x: 0.06336176313837813
  y: 0.3390281623030368
  z: 0.8957326708020817
  w: 0.28054977204622916","translation: 
  x: -0.210740625
  y: -0.0162966796875
  z: 0.077241796875
rotation: 
  x: 0.389822328705083
  y: 0.8818310930901393
  z: 0.11744725343385214
  w: 0.23794667041848006","translation: 
  x: -0.1982390625
  y: -0.04788544921875
  z: 0.08226474609375
rotation: 
  x: 0.48344831656064763
  y: 0.4276564275030174
  z: 0.4836924823770924
  w: 0.591125441612792","translation: 
  x: -0.2274837890625
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.42419406097478163
  y: -0.10314934720106199
  z: 0.41809054930607975
  w: 0.7966303429989712",7,-6,5,0,-7,-5,1,-5,1746825328373108148
0,0.02952838,20250509171528374,None,"translation: 
  x: -0.22770703125
  y: -0.00055810546875
  z: 0.072776953125
rotation: 
  x: 0.06336176313837813
  y: 0.3390281623030368
  z: 0.8957326708020817
  w: 0.28054977204622916","translation: 
  x: -0.210740625
  y: -0.0162966796875
  z: 0.077241796875
rotation: 
  x: 0.389822328705083
  y: 0.8818310930901393
  z: 0.11744725343385214
  w: 0.23794667041848006","translation: 
  x: -0.1982390625
  y: -0.04788544921875
  z: 0.08226474609375
rotation: 
  x: 0.48344831656064763
  y: 0.4276564275030174
  z: 0.4836924823770924
  w: 0.591125441612792","translation: 
  x: -0.2274837890625
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.42419406097478163
  y: -0.10314934720106199
  z: 0.41809054930607975
  w: 0.7966303429989712",5,-3,0,3,-6,-2,-2,-3,1746825328373261928
0,0.037084103,20250509171528381,None,"translation: 
  x: -0.22781865234375
  y: -0.00055810546875
  z: 0.072776953125
rotation: 
  x: 0.06274867146708202
  y: 0.3385254201910865
  z: 0.8958166366253849
  w: 0.2810261512008226","translation: 
  x: -0.2109638671875
  y: -0.0162966796875
  z: 0.07735341796875
rotation: 
  x: 0.3898077600690781
  y: 0.8816760548759417
  z: 0.11768702809476707
  w: 0.23842610567331965","translation: 
  x: -0.19835068359375
  y: -0.04788544921875
  z: 0.08226474609375
rotation: 
  x: 0.48333844783359187
  y: 0.4273009768672824
  z: 0.483948877800545
  w: 0.5912624659909282","translation: 
  x: -0.22759541015625
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.4240865413490177
  y: -0.103274960846652
  z: 0.4183490435242037
  w: 0.7965356022747095",0,-2,-1,1,-4,-8,1,4,1746825328380802392
0,0.037184477,20250509171528381,None,"translation: 
  x: -0.22781865234375
  y: -0.00055810546875
  z: 0.072776953125
rotation: 
  x: 0.06274867146708202
  y: 0.3385254201910865
  z: 0.8958166366253849
  w: 0.2810261512008226","translation: 
  x: -0.2109638671875
  y: -0.0162966796875
  z: 0.07735341796875
rotation: 
  x: 0.3898077600690781
  y: 0.8816760548759417
  z: 0.11768702809476707
  w: 0.23842610567331965","translation: 
  x: -0.19835068359375
  y: -0.04788544921875
  z: 0.08226474609375
rotation: 
  x: 0.48333844783359187
  y: 0.4273009768672824
  z: 0.483948877800545
  w: 0.5912624659909282","translation: 
  x: -0.22759541015625
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.4240865413490177
  y: -0.103274960846652
  z: 0.4183490435242037
  w: 0.7965356022747095",1,-10,0,7,12,-4,-1,-3,1746825328380972862
0,0.044197083,20250509171528388,None,"translation: 
  x: -0.22781865234375
  y: -0.00055810546875
  z: 0.072776953125
rotation: 
  x: 0.06274867146708202
  y: 0.3385254201910865
  z: 0.8958166366253849
  w: 0.2810261512008226","translation: 
  x: -0.2109638671875
  y: -0.0162966796875
  z: 0.07735341796875
rotation: 
  x: 0.3898077600690781
  y: 0.8816760548759417
  z: 0.11768702809476707
  w: 0.23842610567331965","translation: 
  x: -0.19835068359375
  y: -0.04788544921875
  z: 0.08226474609375
rotation: 
  x: 0.48333844783359187
  y: 0.4273009768672824
  z: 0.483948877800545
  w: 0.5912624659909282","translation: 
  x: -0.22759541015625
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.4240865413490177
  y: -0.103274960846652
  z: 0.4183490435242037
  w: 0.7965356022747095",1,3,5,7,6,-4,2,5,1746825328388145446
0,0.044292689,20250509171528388,None,"translation: 
  x: -0.22781865234375
  y: -0.00055810546875
  z: 0.072776953125
rotation: 
  x: 0.06274867146708202
  y: 0.3385254201910865
  z: 0.8958166366253849
  w: 0.2810261512008226","translation: 
  x: -0.2109638671875
  y: -0.0162966796875
  z: 0.07735341796875
rotation: 
  x: 0.3898077600690781
  y: 0.8816760548759417
  z: 0.11768702809476707
  w: 0.23842610567331965","translation: 
  x: -0.19835068359375
  y: -0.04788544921875
  z: 0.08226474609375
rotation: 
  x: 0.48333844783359187
  y: 0.4273009768672824
  z: 0.483948877800545
  w: 0.5912624659909282","translation: 
  x: -0.22759541015625
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.4240865413490177
  y: -0.103274960846652
  z: 0.4183490435242037
  w: 0.7965356022747095",-6,8,-4,-2,-7,0,-5,-1,1746825328388298273
0,0.059161425,20250509171528403,None,"translation: 
  x: -0.22804189453125
  y: -0.0006697265625
  z: 0.072776953125
rotation: 
  x: 0.06189538272351393
  y: 0.3376777684679281
  z: 0.8960791108295705
  w: 0.2813981403899401","translation: 
  x: -0.21107548828125
  y: -0.01640830078125
  z: 0.07735341796875
rotation: 
  x: 0.38982378420592173
  y: 0.8814681246372549
  z: 0.11818021394028567
  w: 0.2389242548358875","translation: 
  x: -0.1984623046875
  y: -0.04788544921875
  z: 0.0823763671875
rotation: 
  x: 0.4834819982508494
  y: 0.42683158229418416
  z: 0.4843366381467474
  w: 0.5911666251339932","translation: 
  x: -0.22770703125
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.4240790968119493
  y: -0.10339522020717358
  z: 0.4185858442625717
  w: 0.7963995473808744",-5,2,10,-6,-7,5,0,-3,1746825328403129577
0,0.059238196,20250509171528403,None,"translation: 
  x: -0.22804189453125
  y: -0.0006697265625
  z: 0.072776953125
rotation: 
  x: 0.06189538272351393
  y: 0.3376777684679281
  z: 0.8960791108295705
  w: 0.2813981403899401","translation: 
  x: -0.21107548828125
  y: -0.01640830078125
  z: 0.07735341796875
rotation: 
  x: 0.38982378420592173
  y: 0.8814681246372549
  z: 0.11818021394028567
  w: 0.2389242548358875","translation: 
  x: -0.1984623046875
  y: -0.04788544921875
  z: 0.0823763671875
rotation: 
  x: 0.4834819982508494
  y: 0.42683158229418416
  z: 0.4843366381467474
  w: 0.5911666251339932","translation: 
  x: -0.22770703125
  y: -0.1020216796875
  z: 0.07311181640625
rotation: 
  x: 0.4240790968119493
  y: -0.10339522020717358
  z: 0.4185858442625717
  w: 0.7963995473808744",-5,-1,8,2,2,-2,-8,-3,1746825328403388500
