gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.020529986,20250615153922579,None,"translation: 
  x: -0.07947421875
  y: -0.05257353515625
  z: -0.1069330078125
rotation: 
  x: -0.13368821183083038
  y: 0.22708682557565715
  z: -0.006837022705503654
  w: 0.9646306499318641","translation: 
  x: -0.061168359375
  y: -0.05804296875
  z: -0.11329541015625
rotation: 
  x: -0.10279478006510685
  y: 0.012696742430844555
  z: 0.08094173299663403
  w: 0.9913225821005556","translation: 
  x: -0.0303609375
  y: -0.065633203125
  z: -0.1154162109375
rotation: 
  x: -0.4165975148326274
  y: -0.006103098664410014
  z: -0.06920913885440953
  w: 0.9064322136381752",-21,-14,-18,-39,-54,-24,-20,-39,1750016362578206300
0,0.020666361,20250615153922579,None,"translation: 
  x: -0.07947421875
  y: -0.05257353515625
  z: -0.1069330078125
rotation: 
  x: -0.13368821183083038
  y: 0.22708682557565715
  z: -0.006837022705503654
  w: 0.9646306499318641","translation: 
  x: -0.061168359375
  y: -0.05804296875
  z: -0.11329541015625
rotation: 
  x: -0.10279478006510685
  y: 0.012696742430844555
  z: 0.08094173299663403
  w: 0.9913225821005556","translation: 
  x: -0.0303609375
  y: -0.065633203125
  z: -0.1154162109375
rotation: 
  x: -0.4165975148326274
  y: -0.006103098664410014
  z: -0.06920913885440953
  w: 0.9064322136381752",-14,-14,-5,-3,10,-6,-16,-21,1750016362578455924
0,0.034782887,20250615153922594,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10704462890625
rotation: 
  x: -0.13344017375715542
  y: 0.226836086771084
  z: -0.0067147388441386536
  w: 0.964724842661521","translation: 
  x: -0.06105673828125
  y: -0.05804296875
  z: -0.11329541015625
rotation: 
  x: -0.10376902747643349
  y: 0.012208120879580413
  z: 0.08155024747559714
  w: 0.9911773342131335","translation: 
  x: -0.0303609375
  y: -0.065633203125
  z: -0.1154162109375
rotation: 
  x: -0.41614750553837027
  y: -0.006225732702392753
  z: -0.06921549886777822
  w: 0.9066375839347247",36,23,19,33,47,17,37,30,1750016362593213558
0,0.034888029,20250615153922594,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10704462890625
rotation: 
  x: -0.13344017375715542
  y: 0.226836086771084
  z: -0.0067147388441386536
  w: 0.964724842661521","translation: 
  x: -0.06105673828125
  y: -0.05804296875
  z: -0.11329541015625
rotation: 
  x: -0.10376902747643349
  y: 0.012208120879580413
  z: 0.08155024747559714
  w: 0.9911773342131335","translation: 
  x: -0.0303609375
  y: -0.065633203125
  z: -0.1154162109375
rotation: 
  x: -0.41614750553837027
  y: -0.006225732702392753
  z: -0.06921549886777822
  w: 0.9066375839347247",4,8,-4,4,-8,-2,-9,3,1750016362593365669
0,0.04186678,20250615153922601,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10704462890625
rotation: 
  x: -0.13344017375715542
  y: 0.226836086771084
  z: -0.0067147388441386536
  w: 0.964724842661521","translation: 
  x: -0.06105673828125
  y: -0.05804296875
  z: -0.11329541015625
rotation: 
  x: -0.10376902747643349
  y: 0.012208120879580413
  z: 0.08155024747559714
  w: 0.9911773342131335","translation: 
  x: -0.0303609375
  y: -0.065633203125
  z: -0.1154162109375
rotation: 
  x: -0.41614750553837027
  y: -0.006225732702392753
  z: -0.06921549886777822
  w: 0.9066375839347247",-35,-19,-23,-16,-12,-23,-16,-38,1750016362600457906
0,0.041952372,20250615153922601,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10704462890625
rotation: 
  x: -0.13344017375715542
  y: 0.226836086771084
  z: -0.0067147388441386536
  w: 0.964724842661521","translation: 
  x: -0.06105673828125
  y: -0.05804296875
  z: -0.11329541015625
rotation: 
  x: -0.10376902747643349
  y: 0.012208120879580413
  z: 0.08155024747559714
  w: 0.9911773342131335","translation: 
  x: -0.0303609375
  y: -0.065633203125
  z: -0.1154162109375
rotation: 
  x: -0.41614750553837027
  y: -0.006225732702392753
  z: -0.06921549886777822
  w: 0.9066375839347247",21,14,24,30,49,20,22,26,1750016362600587844
0,0.049424887,20250615153922608,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10704462890625
rotation: 
  x: -0.13318833689060355
  y: 0.22670095472580276
  z: -0.00671435245552997
  w: 0.9647914082918793","translation: 
  x: -0.06105673828125
  y: -0.05793134765625
  z: -0.11340703125
rotation: 
  x: -0.10511887859828184
  y: 0.01184266111966706
  z: 0.08204400280841509
  w: 0.9909987660653353","translation: 
  x: -0.0303609375
  y: -0.06552158203125
  z: -0.11552783203125
rotation: 
  x: -0.41579860463510615
  y: -0.006225992024776986
  z: -0.06921838192252062
  w: 0.9067974266675188",16,-2,1,8,19,3,27,15,1750016362608191490
0,0.049719572,20250615153922608,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10704462890625
rotation: 
  x: -0.13318833689060355
  y: 0.22670095472580276
  z: -0.00671435245552997
  w: 0.9647914082918793","translation: 
  x: -0.06105673828125
  y: -0.05793134765625
  z: -0.11340703125
rotation: 
  x: -0.10511887859828184
  y: 0.01184266111966706
  z: 0.08204400280841509
  w: 0.9909987660653353","translation: 
  x: -0.0303609375
  y: -0.06552158203125
  z: -0.11552783203125
rotation: 
  x: -0.41579860463510615
  y: -0.006225992024776986
  z: -0.06921838192252062
  w: 0.9067974266675188",-22,-16,-21,-35,-60,-17,-28,-42,1750016362608420848
0,0.065289736,20250615153922624,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10715625
rotation: 
  x: -0.13295217689507613
  y: 0.22659250717838503
  z: -0.006714756408842228
  w: 0.9648494527105479","translation: 
  x: -0.0609451171875
  y: -0.0578197265625
  z: -0.11340703125
rotation: 
  x: -0.10694932681232397
  y: 0.01147629762597997
  z: 0.08277584883419596
  w: 0.9907463322853983","translation: 
  x: -0.03024931640625
  y: -0.06552158203125
  z: -0.11552783203125
rotation: 
  x: -0.41555061773561874
  y: -0.006225934637049515
  z: -0.06921774390602109
  w: 0.9069111454635461",8,2,19,31,24,6,9,7,1750016362623367786
0,0.065432549,20250615153922624,None,"translation: 
  x: -0.07936259765625
  y: -0.05257353515625
  z: -0.10715625
rotation: 
  x: -0.13295217689507613
  y: 0.22659250717838503
  z: -0.006714756408842228
  w: 0.9648494527105479","translation: 
  x: -0.0609451171875
  y: -0.0578197265625
  z: -0.11340703125
rotation: 
  x: -0.10694932681232397
  y: 0.01147629762597997
  z: 0.08277584883419596
  w: 0.9907463322853983","translation: 
  x: -0.03024931640625
  y: -0.06552158203125
  z: -0.11552783203125
rotation: 
  x: -0.41555061773561874
  y: -0.006225934637049515
  z: -0.06921774390602109
  w: 0.9069111454635461",24,13,13,24,37,13,13,40,1750016362623711347
