gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.020387173,20250615161520920,None,"translation: 
  x: -0.2489150390625
  y: -0.076348828125
  z: -0.0761255859375
rotation: 
  x: 0.06849194410646729
  y: 0.2445443209362816
  z: -0.016970374742957137
  w: 0.9670671822947015","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.08204150390625
rotation: 
  x: 0.060067285083261424
  y: 0.10841412429661816
  z: -0.05750343754921977
  w: 0.9906218519625672","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.0832693359375
rotation: 
  x: -0.08203827030845239
  y: 0.04455947717646595
  z: -0.1378291773485755
  w: 0.9860462935734672",4,4,5,0,-9,7,5,-2,1750018520918048143
0,0.020555496,20250615161520920,None,"translation: 
  x: -0.2489150390625
  y: -0.076348828125
  z: -0.0761255859375
rotation: 
  x: 0.06849194410646729
  y: 0.2445443209362816
  z: -0.016970374742957137
  w: 0.9670671822947015","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.08204150390625
rotation: 
  x: 0.060067285083261424
  y: 0.10841412429661816
  z: -0.05750343754921977
  w: 0.9906218519625672","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.0832693359375
rotation: 
  x: -0.08203827030845239
  y: 0.04455947717646595
  z: -0.1378291773485755
  w: 0.9860462935734672",-8,3,0,0,-4,-12,-4,-6,1750018520918308019
0,0.033945799,20250615161520933,None,"translation: 
  x: -0.2489150390625
  y: -0.076348828125
  z: -0.07623720703125
rotation: 
  x: 0.06873695975515928
  y: 0.24393684829628465
  z: -0.017092672052792718
  w: 0.9672010571587424","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.082153125
rotation: 
  x: 0.060062401646202926
  y: 0.1080390761318894
  z: -0.05749876255154791
  w: 0.9906633930059687","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.08338095703125
rotation: 
  x: -0.08241051451470714
  y: 0.04419645371010961
  z: -0.1380833954313093
  w: 0.9859960225492961",-2,4,2,3,6,-11,-9,3,1750018520933091878
0,0.034160137,20250615161520933,None,"translation: 
  x: -0.2489150390625
  y: -0.076348828125
  z: -0.07623720703125
rotation: 
  x: 0.06873695975515928
  y: 0.24393684829628465
  z: -0.017092672052792718
  w: 0.9672010571587424","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.082153125
rotation: 
  x: 0.060062401646202926
  y: 0.1080390761318894
  z: -0.05749876255154791
  w: 0.9906633930059687","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.08338095703125
rotation: 
  x: -0.08241051451470714
  y: 0.04419645371010961
  z: -0.1380833954313093
  w: 0.9859960225492961",5,-3,-6,0,-2,18,15,10,1750018520933230638
0,0.041851759,20250615161520941,None,"translation: 
  x: -0.2489150390625
  y: -0.076348828125
  z: -0.07623720703125
rotation: 
  x: 0.06873695975515928
  y: 0.24393684829628465
  z: -0.017092672052792718
  w: 0.9672010571587424","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.082153125
rotation: 
  x: 0.060062401646202926
  y: 0.1080390761318894
  z: -0.05749876255154791
  w: 0.9906633930059687","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.08338095703125
rotation: 
  x: -0.08241051451470714
  y: 0.04419645371010961
  z: -0.1380833954313093
  w: 0.9859960225492961",-5,-4,1,3,-6,-13,-8,-2,1750018520940713405
0,0.042001009,20250615161520941,None,"translation: 
  x: -0.2489150390625
  y: -0.076348828125
  z: -0.07623720703125
rotation: 
  x: 0.06873695975515928
  y: 0.24393684829628465
  z: -0.017092672052792718
  w: 0.9672010571587424","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.082153125
rotation: 
  x: 0.060062401646202926
  y: 0.1080390761318894
  z: -0.05749876255154791
  w: 0.9906633930059687","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.08338095703125
rotation: 
  x: -0.08241051451470714
  y: 0.04419645371010961
  z: -0.1380833954313093
  w: 0.9859960225492961",-4,0,1,-5,-7,-3,-10,-3,1750018520940891027
0,0.049427986,20250615161520949,None,"translation: 
  x: -0.2489150390625
  y: -0.07623720703125
  z: -0.076348828125
rotation: 
  x: 0.06897585161552106
  y: 0.24318565737719988
  z: -0.017213442615554814
  w: 0.96737105876352","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.08226474609375
rotation: 
  x: 0.06031000430926499
  y: 0.10731274046122254
  z: -0.05762413367201028
  w: 0.9907200100600921","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.08338095703125
rotation: 
  x: -0.0827714222458385
  y: 0.04382734599742776
  z: -0.13844069738463252
  w: 0.9859321623265362",7,5,5,2,-5,6,11,10,1750018520948232173
0,0.049561262,20250615161520949,None,"translation: 
  x: -0.2489150390625
  y: -0.07623720703125
  z: -0.076348828125
rotation: 
  x: 0.06897585161552106
  y: 0.24318565737719988
  z: -0.017213442615554814
  w: 0.96737105876352","translation: 
  x: -0.2339578125
  y: -0.07757666015625
  z: -0.08226474609375
rotation: 
  x: 0.06031000430926499
  y: 0.10731274046122254
  z: -0.05762413367201028
  w: 0.9907200100600921","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.08338095703125
rotation: 
  x: -0.0827714222458385
  y: 0.04382734599742776
  z: -0.13844069738463252
  w: 0.9859321623265362",2,-4,5,0,-11,0,6,-2,1750018520948413848
0,0.064064264,20250615161520963,None,"translation: 
  x: -0.24902666015625
  y: -0.07623720703125
  z: -0.0765720703125
rotation: 
  x: 0.0693441889627992
  y: 0.24246049169035075
  z: -0.01745813208042304
  w: 0.9675223548066615","translation: 
  x: -0.2339578125
  y: -0.0774650390625
  z: -0.08248798828125
rotation: 
  x: 0.06055106127798935
  y: 0.10645267224678773
  z: -0.05774324996872774
  w: 0.9907911559116159","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.083492578125
rotation: 
  x: -0.08301154080633331
  y: 0.04370313471862843
  z: -0.138678103464698
  w: 0.9858841228705117",2,4,5,6,-6,-13,-13,-7,1750018520963080406
0,0.064340115,20250615161520964,None,"translation: 
  x: -0.24902666015625
  y: -0.07623720703125
  z: -0.0765720703125
rotation: 
  x: 0.0693441889627992
  y: 0.24246049169035075
  z: -0.01745813208042304
  w: 0.9675223548066615","translation: 
  x: -0.2339578125
  y: -0.0774650390625
  z: -0.08248798828125
rotation: 
  x: 0.06055106127798935
  y: 0.10645267224678773
  z: -0.05774324996872774
  w: 0.9907911559116159","translation: 
  x: -0.2015876953125
  y: -0.0774650390625
  z: -0.083492578125
rotation: 
  x: -0.08301154080633331
  y: 0.04370313471862843
  z: -0.138678103464698
  w: 0.9858841228705117",-5,0,2,3,-1,-11,7,-2,1750018520963542938
