gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.022982359,20250509170523208,None,2,1,10,5,7,-2,-5,2,1746824723207595109,,,,
0,0.023066044,20250509170523208,None,-2,7,3,5,10,1,-4,2,1746824723207729578,,,,
0,0.030560493,20250509170523215,None,1,-6,0,1,-1,5,-5,-5,1746824723215119600,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.0238869140625
rotation: 
  x: -0.1318540343492935
  y: 0.021243149978497276
  z: 0.7444869457981406
  w: 0.6541425148551062","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.35639088754896414
  y: 0.4750657565786295
  z: 0.4220771833699106
  w: 0.6849444601403524","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.1336781924534609
  y: -0.14075886383455752
  z: 0.6503230421914031
  w: 0.7344365349771881","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322610291122164
  y: -0.009155866326471609
  z: 0.626993726036776
  w: 0.7771499337909102"
0,0.030763388,20250509170523215,None,3,5,7,-2,11,7,1,9,1746824723215303182,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.0238869140625
rotation: 
  x: -0.1318540343492935
  y: 0.021243149978497276
  z: 0.7444869457981406
  w: 0.6541425148551062","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.35639088754896414
  y: 0.4750657565786295
  z: 0.4220771833699106
  w: 0.6849444601403524","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.1336781924534609
  y: -0.14075886383455752
  z: 0.6503230421914031
  w: 0.7344365349771881","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322610291122164
  y: -0.009155866326471609
  z: 0.626993726036776
  w: 0.7771499337909102"
0,0.045951843,20250509170523231,None,-8,2,-5,2,-12,-2,-3,0,1746824723230353593,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.0238869140625
rotation: 
  x: -0.13210269596894555
  y: 0.02136596284155775
  z: 0.7446343278323466
  w: 0.6539205541679043","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.35610657916976823
  y: 0.47525639791152136
  z: 0.422029634621148
  w: 0.6849893780327629","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.13354539151143752
  y: -0.14086963601846333
  z: 0.6503929122238931
  w: 0.7343775825711225","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322196906002659
  y: -0.009277223964591788
  z: 0.6270670987645793
  w: 0.7770895757709388"
0,0.046132326,20250509170523231,None,5,1,2,0,-4,0,-9,0,1746824723230723142,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.0238869140625
rotation: 
  x: -0.13210269596894555
  y: 0.02136596284155775
  z: 0.7446343278323466
  w: 0.6539205541679043","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.35610657916976823
  y: 0.47525639791152136
  z: 0.422029634621148
  w: 0.6849893780327629","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.13354539151143752
  y: -0.14086963601846333
  z: 0.6503929122238931
  w: 0.7343775825711225","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322196906002659
  y: -0.009277223964591788
  z: 0.6270670987645793
  w: 0.7770895757709388"
0,0.053719044,20250509170523238,None,1,-7,-3,-7,-19,-4,4,-1,1746824723237970113,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.0238869140625
rotation: 
  x: -0.13210269596894555
  y: 0.02136596284155775
  z: 0.7446343278323466
  w: 0.6539205541679043","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.35610657916976823
  y: 0.47525639791152136
  z: 0.422029634621148
  w: 0.6849893780327629","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.13354539151143752
  y: -0.14086963601846333
  z: 0.6503929122238931
  w: 0.7343775825711225","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322196906002659
  y: -0.009277223964591788
  z: 0.6270670987645793
  w: 0.7770895757709388"
0,0.053831816,20250509170523238,None,-8,0,-10,-3,6,-5,4,-1,1746824723238159656,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.0238869140625
rotation: 
  x: -0.13210269596894555
  y: 0.02136596284155775
  z: 0.7446343278323466
  w: 0.6539205541679043","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.35610657916976823
  y: 0.47525639791152136
  z: 0.422029634621148
  w: 0.6849893780327629","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.13354539151143752
  y: -0.14086963601846333
  z: 0.6503929122238931
  w: 0.7343775825711225","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322196906002659
  y: -0.009277223964591788
  z: 0.6270670987645793
  w: 0.7770895757709388"
0,0.060541868,20250509170523245,None,-2,3,2,-7,12,-8,4,0,1746824723245063781,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.02377529296875
rotation: 
  x: -0.1324607362300271
  y: 0.02148671850367259
  z: 0.7447101299568344
  w: 0.6537578271998111","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.3558727011438296
  y: 0.4753922120940214
  z: 0.4220418277372963
  w: 0.6850091684795978","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.1334254948936795
  y: -0.14087193147969454
  z: 0.6504035103325931
  w: 0.7343895492043696","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322196906002659
  y: -0.009277223964591788
  z: 0.6270670987645793
  w: 0.7770895757709388"
0,0.060642958,20250509170523245,None,-3,1,3,9,11,7,0,6,1746824723245333909,"translation: 
  x: -0.27068115234375
  y: 0.04375546875
  z: 0.02377529296875
rotation: 
  x: -0.1324607362300271
  y: 0.02148671850367259
  z: 0.7447101299568344
  w: 0.6537578271998111","translation: 
  x: -0.27269033203125
  y: 0.01339453125
  z: 0.03270498046875
rotation: 
  x: 0.3558727011438296
  y: 0.4753922120940214
  z: 0.4220418277372963
  w: 0.6850091684795978","translation: 
  x: -0.2810619140625
  y: -0.0247798828125
  z: 0.03739306640625
rotation: 
  x: 0.1334254948936795
  y: -0.14087193147969454
  z: 0.6504035103325931
  w: 0.7343895492043696","translation: 
  x: -0.2837408203125
  y: -0.07913935546875
  z: 0.02221259765625
rotation: 
  x: 0.05322196906002659
  y: -0.009277223964591788
  z: 0.6270670987645793
  w: 0.7770895757709388"
