gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.007185459,20250509170604856,None,6,2,3,2,0,-4,-4,-1,1746824764855644941,,,,
0,0.007280111,20250509170604856,None,-3,-12,-2,-2,2,2,10,5,1746824764855789661,,,,
0,0.014239311,20250509170604863,None,2,0,1,-5,-12,-8,4,3,1746824764862517595,"translation: 
  x: -0.25951904296875
  y: 0.0386208984375
  z: 0.0332630859375
rotation: 
  x: -0.07715078624271708
  y: -0.06775108602010756
  z: 0.7108370700812366
  w: 0.6958219645308343","translation: 
  x: -0.2645419921875
  y: 0.0078134765625
  z: 0.036165234375
rotation: 
  x: 0.416833930183243
  y: 0.41683393018324305
  z: 0.43282843658453324
  w: 0.6820252882260094","translation: 
  x: -0.27615058593749997
  y: -0.028575
  z: 0.036165234375
rotation: 
  x: 0.17797927014842163
  y: -0.1414800919766946
  z: 0.6268337120796607
  w: 0.7452424171852635","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628085903861984
  y: 0.002685854444359297
  z: 0.6117643918492929
  w: 0.7890307851770066"
0,0.014420748,20250509170604863,None,1,-2,-7,4,-2,8,-5,3,1746824764862654209,"translation: 
  x: -0.25951904296875
  y: 0.0386208984375
  z: 0.0332630859375
rotation: 
  x: -0.07715078624271708
  y: -0.06775108602010756
  z: 0.7108370700812366
  w: 0.6958219645308343","translation: 
  x: -0.2645419921875
  y: 0.0078134765625
  z: 0.036165234375
rotation: 
  x: 0.416833930183243
  y: 0.41683393018324305
  z: 0.43282843658453324
  w: 0.6820252882260094","translation: 
  x: -0.27615058593749997
  y: -0.028575
  z: 0.036165234375
rotation: 
  x: 0.17797927014842163
  y: -0.1414800919766946
  z: 0.6268337120796607
  w: 0.7452424171852635","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628085903861984
  y: 0.002685854444359297
  z: 0.6117643918492929
  w: 0.7890307851770066"
0,0.029055595,20250509170604878,None,-9,-2,-1,4,7,3,6,2,1746824764877458095,"translation: 
  x: -0.25862607421875
  y: 0.03828603515625
  z: 0.033486328125
rotation: 
  x: -0.07263579639233424
  y: -0.06787479461199637
  z: 0.707924341645624
  w: 0.6992568768660344","translation: 
  x: -0.263872265625
  y: 0.007590234375
  z: 0.03627685546875
rotation: 
  x: 0.42084218373417975
  y: 0.41510398163510626
  z: 0.43085351505596764
  w: 0.6818693345388436","translation: 
  x: -0.27592734375
  y: -0.02868662109375
  z: 0.03627685546875
rotation: 
  x: 0.18066041480912595
  y: -0.14098836425982464
  z: 0.6247432452656125
  w: 0.7464448895660846","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628087707373712
  y: 0.00256377097299019
  z: 0.6117645878882793
  w: 0.7890310380207441"
0,0.029136657,20250509170604878,None,-1,-3,-4,-7,-2,-4,-1,-8,1746824764877657890,"translation: 
  x: -0.25862607421875
  y: 0.03828603515625
  z: 0.033486328125
rotation: 
  x: -0.07263579639233424
  y: -0.06787479461199637
  z: 0.707924341645624
  w: 0.6992568768660344","translation: 
  x: -0.263872265625
  y: 0.007590234375
  z: 0.03627685546875
rotation: 
  x: 0.42084218373417975
  y: 0.41510398163510626
  z: 0.43085351505596764
  w: 0.6818693345388436","translation: 
  x: -0.27592734375
  y: -0.02868662109375
  z: 0.03627685546875
rotation: 
  x: 0.18066041480912595
  y: -0.14098836425982464
  z: 0.6247432452656125
  w: 0.7464448895660846","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628087707373712
  y: 0.00256377097299019
  z: 0.6117645878882793
  w: 0.7890310380207441"
0,0.036646127,20250509170604885,None,6,4,7,13,3,2,3,-8,1746824764885061025,"translation: 
  x: -0.25862607421875
  y: 0.03828603515625
  z: 0.033486328125
rotation: 
  x: -0.07263579639233424
  y: -0.06787479461199637
  z: 0.707924341645624
  w: 0.6992568768660344","translation: 
  x: -0.263872265625
  y: 0.007590234375
  z: 0.03627685546875
rotation: 
  x: 0.42084218373417975
  y: 0.41510398163510626
  z: 0.43085351505596764
  w: 0.6818693345388436","translation: 
  x: -0.27592734375
  y: -0.02868662109375
  z: 0.03627685546875
rotation: 
  x: 0.18066041480912595
  y: -0.14098836425982464
  z: 0.6247432452656125
  w: 0.7464448895660846","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628087707373712
  y: 0.00256377097299019
  z: 0.6117645878882793
  w: 0.7890310380207441"
0,0.036781311,20250509170604885,None,-3,4,3,-2,-6,6,1,-1,1746824764885204076,"translation: 
  x: -0.25862607421875
  y: 0.03828603515625
  z: 0.033486328125
rotation: 
  x: -0.07263579639233424
  y: -0.06787479461199637
  z: 0.707924341645624
  w: 0.6992568768660344","translation: 
  x: -0.263872265625
  y: 0.007590234375
  z: 0.03627685546875
rotation: 
  x: 0.42084218373417975
  y: 0.41510398163510626
  z: 0.43085351505596764
  w: 0.6818693345388436","translation: 
  x: -0.27592734375
  y: -0.02868662109375
  z: 0.03627685546875
rotation: 
  x: 0.18066041480912595
  y: -0.14098836425982464
  z: 0.6247432452656125
  w: 0.7464448895660846","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628087707373712
  y: 0.00256377097299019
  z: 0.6117645878882793
  w: 0.7890310380207441"
0,0.051832199,20250509170604900,None,-1,-1,-4,-9,1,2,5,1,1746824764899977445,"translation: 
  x: -0.25706337890625
  y: 0.0377279296875
  z: 0.0341560546875
rotation: 
  x: -0.06299054104757089
  y: -0.06787352872567716
  z: 0.702051553419729
  w: 0.7060800182541668","translation: 
  x: -0.2627560546875
  y: 0.0069205078125
  z: 0.03650009765625
rotation: 
  x: 0.4283647062301547
  y: 0.41200652138124033
  z: 0.42689979415413254
  w: 0.681550343369323","translation: 
  x: -0.275480859375
  y: -0.02890986328125
  z: 0.0363884765625
rotation: 
  x: 0.1857866803028161
  y: -0.1403775836716416
  z: 0.6205909872927181
  w: 0.7487618245581299","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628087707373712
  y: 0.00256377097299019
  z: 0.6117645878882793
  w: 0.7890310380207441"
0,0.051920652,20250509170604901,None,3,-6,-6,-5,-6,-1,3,-1,1746824764900110960,"translation: 
  x: -0.25706337890625
  y: 0.0377279296875
  z: 0.0341560546875
rotation: 
  x: -0.06299054104757089
  y: -0.06787352872567716
  z: 0.702051553419729
  w: 0.7060800182541668","translation: 
  x: -0.2627560546875
  y: 0.0069205078125
  z: 0.03650009765625
rotation: 
  x: 0.4283647062301547
  y: 0.41200652138124033
  z: 0.42689979415413254
  w: 0.681550343369323","translation: 
  x: -0.275480859375
  y: -0.02890986328125
  z: 0.0363884765625
rotation: 
  x: 0.1857866803028161
  y: -0.1403775836716416
  z: 0.6205909872927181
  w: 0.7487618245581299","translation: 
  x: -0.28162001953125
  y: -0.07936259765625
  z: 0.0189755859375
rotation: 
  x: 0.05628087707373712
  y: 0.00256377097299019
  z: 0.6117645878882793
  w: 0.7890310380207441"
