gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.012543678,20250509170906797,None,4,-2,3,5,6,5,-6,-6,1746824946796960830,,,,
0,0.012869596,20250509170906798,None,3,5,-5,3,7,-2,2,1,1746824946797116994,,,,
0,0.020093918,20250509170906805,None,-1,2,5,-1,0,-6,-10,5,1746824946804057121,"translation: 
  x: -0.27581572265625
  y: 0.01395263671875
  z: 0.0591591796875
rotation: 
  x: -0.2861403425111466
  y: -0.43214027836581026
  z: 0.6574880054458344
  w: 0.546889391830178","translation: 
  x: -0.27525761718749997
  y: -0.0142875
  z: 0.05368974609375
rotation: 
  x: 0.2853327398995963
  y: 0.22550687659159366
  z: 0.5497874744406855
  w: 0.7519744737020171","translation: 
  x: -0.2824013671875
  y: -0.0502294921875
  z: 0.05078759765625
rotation: 
  x: -0.053836841813157454
  y: -0.34060042779752664
  z: 0.563394614439278
  w: 0.7507858892311071","translation: 
  x: -0.28720107421875
  y: -0.10280302734375
  z: 0.03482578125
rotation: 
  x: -0.008301012500510126
  y: -0.10669242537420372
  z: 0.5590976066520058
  w: 0.8221664586902311"
0,0.020239591,20250509170906805,None,1,7,4,-1,-3,-3,2,1,1746824946804224014,"translation: 
  x: -0.27581572265625
  y: 0.01395263671875
  z: 0.0591591796875
rotation: 
  x: -0.2861403425111466
  y: -0.43214027836581026
  z: 0.6574880054458344
  w: 0.546889391830178","translation: 
  x: -0.27525761718749997
  y: -0.0142875
  z: 0.05368974609375
rotation: 
  x: 0.2853327398995963
  y: 0.22550687659159366
  z: 0.5497874744406855
  w: 0.7519744737020171","translation: 
  x: -0.2824013671875
  y: -0.0502294921875
  z: 0.05078759765625
rotation: 
  x: -0.053836841813157454
  y: -0.34060042779752664
  z: 0.563394614439278
  w: 0.7507858892311071","translation: 
  x: -0.28720107421875
  y: -0.10280302734375
  z: 0.03482578125
rotation: 
  x: -0.008301012500510126
  y: -0.10669242537420372
  z: 0.5590976066520058
  w: 0.8221664586902311"
0,0.028185606,20250509170906813,None,2,-4,-10,-8,-7,-2,2,0,1746824946811555862,"translation: 
  x: -0.27581572265625
  y: 0.01395263671875
  z: 0.0591591796875
rotation: 
  x: -0.2861403425111466
  y: -0.43214027836581026
  z: 0.6574880054458344
  w: 0.546889391830178","translation: 
  x: -0.27525761718749997
  y: -0.0142875
  z: 0.05368974609375
rotation: 
  x: 0.2853327398995963
  y: 0.22550687659159366
  z: 0.5497874744406855
  w: 0.7519744737020171","translation: 
  x: -0.2824013671875
  y: -0.0502294921875
  z: 0.05078759765625
rotation: 
  x: -0.053836841813157454
  y: -0.34060042779752664
  z: 0.563394614439278
  w: 0.7507858892311071","translation: 
  x: -0.28720107421875
  y: -0.10280302734375
  z: 0.03482578125
rotation: 
  x: -0.008301012500510126
  y: -0.10669242537420372
  z: 0.5590976066520058
  w: 0.8221664586902311"
0,0.028248071,20250509170906813,None,-2,-5,2,1,6,0,5,6,1746824946811808347,"translation: 
  x: -0.27581572265625
  y: 0.01395263671875
  z: 0.0591591796875
rotation: 
  x: -0.2861403425111466
  y: -0.43214027836581026
  z: 0.6574880054458344
  w: 0.546889391830178","translation: 
  x: -0.27525761718749997
  y: -0.0142875
  z: 0.05368974609375
rotation: 
  x: 0.2853327398995963
  y: 0.22550687659159366
  z: 0.5497874744406855
  w: 0.7519744737020171","translation: 
  x: -0.2824013671875
  y: -0.0502294921875
  z: 0.05078759765625
rotation: 
  x: -0.053836841813157454
  y: -0.34060042779752664
  z: 0.563394614439278
  w: 0.7507858892311071","translation: 
  x: -0.28720107421875
  y: -0.10280302734375
  z: 0.03482578125
rotation: 
  x: -0.008301012500510126
  y: -0.10669242537420372
  z: 0.5590976066520058
  w: 0.8221664586902311"
0,0.042632818,20250509170906827,None,3,-13,0,5,0,-3,2,-11,1746824946826740741,"translation: 
  x: -0.27559248046875
  y: 0.0142875
  z: 0.05860107421875
rotation: 
  x: -0.2879646138237083
  y: -0.43420522737216216
  z: 0.6568620546779883
  w: 0.5450453585090538","translation: 
  x: -0.27514599609375
  y: -0.0140642578125
  z: 0.0533548828125
rotation: 
  x: 0.2837259900299174
  y: 0.22427050072502502
  z: 0.5503600529495988
  w: 0.7525331336249617","translation: 
  x: -0.282178125
  y: -0.04967138671875
  z: 0.05034111328125
rotation: 
  x: -0.06042252230344458
  y: -0.3390985191090283
  z: 0.5621125559744691
  w: 0.7519247219984212","translation: 
  x: -0.28720107421875
  y: -0.10269140625
  z: 0.03471416015625
rotation: 
  x: -0.011840093085692362
  y: -0.1090020940775596
  z: 0.5594138825951351
  w: 0.8216048098947969"
0,0.042724609,20250509170906827,None,2,-7,-5,-10,-3,-5,-4,3,1746824946826913595,"translation: 
  x: -0.27559248046875
  y: 0.0142875
  z: 0.05860107421875
rotation: 
  x: -0.2879646138237083
  y: -0.43420522737216216
  z: 0.6568620546779883
  w: 0.5450453585090538","translation: 
  x: -0.27514599609375
  y: -0.0140642578125
  z: 0.0533548828125
rotation: 
  x: 0.2837259900299174
  y: 0.22427050072502502
  z: 0.5503600529495988
  w: 0.7525331336249617","translation: 
  x: -0.282178125
  y: -0.04967138671875
  z: 0.05034111328125
rotation: 
  x: -0.06042252230344458
  y: -0.3390985191090283
  z: 0.5621125559744691
  w: 0.7519247219984212","translation: 
  x: -0.28720107421875
  y: -0.10269140625
  z: 0.03471416015625
rotation: 
  x: -0.011840093085692362
  y: -0.1090020940775596
  z: 0.5594138825951351
  w: 0.8216048098947969"
0,0.049664974,20250509170906834,None,-10,6,-3,7,4,-6,4,-11,1746824946834148645,"translation: 
  x: -0.27559248046875
  y: 0.0142875
  z: 0.05860107421875
rotation: 
  x: -0.2879646138237083
  y: -0.43420522737216216
  z: 0.6568620546779883
  w: 0.5450453585090538","translation: 
  x: -0.27514599609375
  y: -0.0140642578125
  z: 0.0533548828125
rotation: 
  x: 0.2837259900299174
  y: 0.22427050072502502
  z: 0.5503600529495988
  w: 0.7525331336249617","translation: 
  x: -0.282178125
  y: -0.04967138671875
  z: 0.05034111328125
rotation: 
  x: -0.06042252230344458
  y: -0.3390985191090283
  z: 0.5621125559744691
  w: 0.7519247219984212","translation: 
  x: -0.28720107421875
  y: -0.10269140625
  z: 0.03471416015625
rotation: 
  x: -0.011840093085692362
  y: -0.1090020940775596
  z: 0.5594138825951351
  w: 0.8216048098947969"
0,0.049750328,20250509170906835,None,6,-5,0,0,-12,-3,-4,5,1746824946834320545,"translation: 
  x: -0.27559248046875
  y: 0.0142875
  z: 0.05860107421875
rotation: 
  x: -0.2879646138237083
  y: -0.43420522737216216
  z: 0.6568620546779883
  w: 0.5450453585090538","translation: 
  x: -0.27514599609375
  y: -0.0140642578125
  z: 0.0533548828125
rotation: 
  x: 0.2837259900299174
  y: 0.22427050072502502
  z: 0.5503600529495988
  w: 0.7525331336249617","translation: 
  x: -0.282178125
  y: -0.04967138671875
  z: 0.05034111328125
rotation: 
  x: -0.06042252230344458
  y: -0.3390985191090283
  z: 0.5621125559744691
  w: 0.7519247219984212","translation: 
  x: -0.28720107421875
  y: -0.10269140625
  z: 0.03471416015625
rotation: 
  x: -0.011840093085692362
  y: -0.1090020940775596
  z: 0.5594138825951351
  w: 0.8216048098947969"
0,0.057532549,20250509170906842,None,-1,-5,-12,-10,-13,0,-3,-12,1746824946841834783,"translation: 
  x: -0.27570410156249997
  y: 0.0145107421875
  z: 0.05837783203125
rotation: 
  x: -0.28845472958445706
  y: -0.4349404153658149
  z: 0.656866229324572
  w: 0.5441943226777444","translation: 
  x: -0.27514599609375
  y: -0.01395263671875
  z: 0.053131640625
rotation: 
  x: 0.28263358227150587
  y: 0.22354301906657767
  z: 0.5508607875632979
  w: 0.7527942411603047","translation: 
  x: -0.282178125
  y: -0.04944814453125
  z: 0.05011787109375
rotation: 
  x: -0.06225537281013371
  y: -0.33862040034374696
  z: 0.562007326309521
  w: 0.7520693174181057","translation: 
  x: -0.28720107421875
  y: -0.10257978515625
  z: 0.03471416015625
rotation: 
  x: -0.012451397772346492
  y: -0.10913283929880165
  z: 0.5594583920653333
  w: 0.8215481079205091"
0,0.057616472,20250509170906842,None,-6,-2,3,-3,-3,3,-9,-4,1746824946842161893,"translation: 
  x: -0.27570410156249997
  y: 0.0145107421875
  z: 0.05837783203125
rotation: 
  x: -0.28845472958445706
  y: -0.4349404153658149
  z: 0.656866229324572
  w: 0.5441943226777444","translation: 
  x: -0.27514599609375
  y: -0.01395263671875
  z: 0.053131640625
rotation: 
  x: 0.28263358227150587
  y: 0.22354301906657767
  z: 0.5508607875632979
  w: 0.7527942411603047","translation: 
  x: -0.282178125
  y: -0.04944814453125
  z: 0.05011787109375
rotation: 
  x: -0.06225537281013371
  y: -0.33862040034374696
  z: 0.562007326309521
  w: 0.7520693174181057","translation: 
  x: -0.28720107421875
  y: -0.10257978515625
  z: 0.03471416015625
rotation: 
  x: -0.012451397772346492
  y: -0.10913283929880165
  z: 0.5594583920653333
  w: 0.8215481079205091"
0,0.072428226,20250509170906857,None,-6,-1,-13,2,1,-12,5,-2,1746824946856843948,"translation: 
  x: -0.27570410156249997
  y: 0.01462236328125
  z: 0.05815458984375
rotation: 
  x: -0.2884585186875628
  y: -0.4356785667354681
  z: 0.6568748578323211
  w: 0.5435911061005995","translation: 
  x: -0.27514599609375
  y: -0.013841015625
  z: 0.0529083984375
rotation: 
  x: 0.28190291187175653
  y: 0.22293404810646492
  z: 0.5514748605130898
  w: 0.7527992007800999","translation: 
  x: -0.282178125
  y: -0.0493365234375
  z: 0.05000625
rotation: 
  x: -0.06311111096335519
  y: -0.3381388343684602
  z: 0.5620184813835345
  w: 0.7522063167431232","translation: 
  x: -0.28720107421875
  y: -0.10257978515625
  z: 0.03471416015625
rotation: 
  x: -0.012817090315374124
  y: -0.10912836897089968
  z: 0.5596796104380033
  w: 0.8213923879252616"
0,0.072507143,20250509170906857,None,6,-7,-1,-11,-19,-1,-6,-5,1746824946857010364,"translation: 
  x: -0.27570410156249997
  y: 0.01462236328125
  z: 0.05815458984375
rotation: 
  x: -0.2884585186875628
  y: -0.4356785667354681
  z: 0.6568748578323211
  w: 0.5435911061005995","translation: 
  x: -0.27514599609375
  y: -0.013841015625
  z: 0.0529083984375
rotation: 
  x: 0.28190291187175653
  y: 0.22293404810646492
  z: 0.5514748605130898
  w: 0.7527992007800999","translation: 
  x: -0.282178125
  y: -0.0493365234375
  z: 0.05000625
rotation: 
  x: -0.06311111096335519
  y: -0.3381388343684602
  z: 0.5620184813835345
  w: 0.7522063167431232","translation: 
  x: -0.28720107421875
  y: -0.10257978515625
  z: 0.03471416015625
rotation: 
  x: -0.012817090315374124
  y: -0.10912836897089968
  z: 0.5596796104380033
  w: 0.8213923879252616"
0,0.079398155,20250509170906864,None,6,3,-6,-9,-10,6,0,1,1746824946864003419,"translation: 
  x: -0.27581572265625
  y: 0.014733984375
  z: 0.05804296875
rotation: 
  x: -0.2879720912336358
  y: -0.4364138305045562
  z: 0.6570011848323136
  w: 0.5431063306055299","translation: 
  x: -0.27514599609375
  y: -0.01372939453125
  z: 0.05279677734375
rotation: 
  x: 0.28165798708587714
  y: 0.22256719135568012
  z: 0.5520838394461797
  w: 0.752553026613501","translation: 
  x: -0.282178125
  y: -0.0493365234375
  z: 0.04989462890625
rotation: 
  x: -0.06323210669924353
  y: -0.3378889408175793
  z: 0.5620089174581413
  w: 0.7523155860761347","translation: 
  x: -0.28720107421875
  y: -0.10257978515625
  z: 0.0346025390625
rotation: 
  x: -0.012816555698042074
  y: -0.10887969221574786
  z: 0.5597783279163898
  w: 0.8213581265916675"
0,0.079485178,20250509170906864,None,-5,-8,-2,2,5,2,5,4,1746824946864156961,"translation: 
  x: -0.27581572265625
  y: 0.014733984375
  z: 0.05804296875
rotation: 
  x: -0.2879720912336358
  y: -0.4364138305045562
  z: 0.6570011848323136
  w: 0.5431063306055299","translation: 
  x: -0.27514599609375
  y: -0.01372939453125
  z: 0.05279677734375
rotation: 
  x: 0.28165798708587714
  y: 0.22256719135568012
  z: 0.5520838394461797
  w: 0.752553026613501","translation: 
  x: -0.282178125
  y: -0.0493365234375
  z: 0.04989462890625
rotation: 
  x: -0.06323210669924353
  y: -0.3378889408175793
  z: 0.5620089174581413
  w: 0.7523155860761347","translation: 
  x: -0.28720107421875
  y: -0.10257978515625
  z: 0.0346025390625
rotation: 
  x: -0.012816555698042074
  y: -0.10887969221574786
  z: 0.5597783279163898
  w: 0.8213581265916675"
0,0.094761371,20250509170906880,None,-1,4,7,0,-8,0,0,0,1746824946879394292,"translation: 
  x: -0.27592734375
  y: 0.014733984375
  z: 0.05804296875
rotation: 
  x: -0.28709598069567577
  y: -0.43723546039622063
  z: 0.6570738367707581
  w: 0.5428213546571728","translation: 
  x: -0.27525761718749997
  y: -0.0136177734375
  z: 0.05268515625
rotation: 
  x: 0.28177596790257226
  y: 0.22219768699422943
  z: 0.5526862247378442
  w: 0.7521757964678284","translation: 
  x: -0.282178125
  y: -0.0493365234375
  z: 0.0497830078125
rotation: 
  x: -0.06310879616942151
  y: -0.33776023017560797
  z: 0.5621199349326617
  w: 0.7523007945689456","translation: 
  x: -0.28720107421875
  y: -0.10257978515625
  z: 0.0346025390625
rotation: 
  x: -0.012818011037579837
  y: -0.10876997937603461
  z: 0.5598418916032488
  w: 0.8213293167698774"
