gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.021601677,20250509170356531,None,"translation: 
  x: -0.26800224609375
  y: 0.04375546875
  z: 0.02042666015625
rotation: 
  x: -0.14723761841922994
  y: 0.03210903287251863
  z: 0.7342346908567569
  w: 0.6619588449992244","translation: 
  x: -0.27045791015625
  y: 0.013841015625
  z: 0.0296912109375
rotation: 
  x: 0.3412484821431846
  y: 0.45931191049111286
  z: 0.427567865640584
  w: 0.6998340964739657","translation: 
  x: -0.27782490234375
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10254474007382318
  y: -0.14991064382220814
  z: 0.6478630185378328
  w: 0.7397870533897243","translation: 
  x: -0.27949921875
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.06629190543380091
  y: 0.006958818802443184
  z: 0.6194569579578375
  w: 0.782195650302693",-3,-5,0,-6,0,-5,-7,5,1746824636530621528
0,0.021744251,20250509170356531,None,"translation: 
  x: -0.26800224609375
  y: 0.04375546875
  z: 0.02042666015625
rotation: 
  x: -0.14723761841922994
  y: 0.03210903287251863
  z: 0.7342346908567569
  w: 0.6619588449992244","translation: 
  x: -0.27045791015625
  y: 0.013841015625
  z: 0.0296912109375
rotation: 
  x: 0.3412484821431846
  y: 0.45931191049111286
  z: 0.427567865640584
  w: 0.6998340964739657","translation: 
  x: -0.27782490234375
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10254474007382318
  y: -0.14991064382220814
  z: 0.6478630185378328
  w: 0.7397870533897243","translation: 
  x: -0.27949921875
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.06629190543380091
  y: 0.006958818802443184
  z: 0.6194569579578375
  w: 0.782195650302693",7,-5,5,2,-9,4,0,-7,1746824636530817270
0,0.029128313,20250509170356539,None,"translation: 
  x: -0.26777900390625
  y: 0.04375546875
  z: 0.02053828125
rotation: 
  x: -0.14601497214731773
  y: 0.03247490183209574
  z: 0.7344699602326618
  w: 0.6619508185474553","translation: 
  x: -0.27023466796875
  y: 0.01372939453125
  z: 0.0296912109375
rotation: 
  x: 0.3419555306594319
  y: 0.46001015334692585
  z: 0.4275359758548128
  w: 0.6990493996986458","translation: 
  x: -0.27771328125
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10338840071449433
  y: -0.14940661449178402
  z: 0.6477948554803087
  w: 0.739831283034888","translation: 
  x: -0.2792759765625
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.067391661712783
  y: 0.007935612339367562
  z: 0.6194661078454002
  w: 0.782085117630594",-4,-10,0,-2,-9,-5,7,-7,1746824636538087129
0,0.030138731,20250509170356540,None,"translation: 
  x: -0.26777900390625
  y: 0.04375546875
  z: 0.02053828125
rotation: 
  x: -0.14601497214731773
  y: 0.03247490183209574
  z: 0.7344699602326618
  w: 0.6619508185474553","translation: 
  x: -0.27023466796875
  y: 0.01372939453125
  z: 0.0296912109375
rotation: 
  x: 0.3419555306594319
  y: 0.46001015334692585
  z: 0.4275359758548128
  w: 0.6990493996986458","translation: 
  x: -0.27771328125
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10338840071449433
  y: -0.14940661449178402
  z: 0.6477948554803087
  w: 0.739831283034888","translation: 
  x: -0.2792759765625
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.067391661712783
  y: 0.007935612339367562
  z: 0.6194661078454002
  w: 0.782085117630594",3,-2,-7,-15,-7,-7,-1,-2,1746824636538396120
0,0.036086083,20250509170356546,None,"translation: 
  x: -0.26777900390625
  y: 0.04375546875
  z: 0.02053828125
rotation: 
  x: -0.14601497214731773
  y: 0.03247490183209574
  z: 0.7344699602326618
  w: 0.6619508185474553","translation: 
  x: -0.27023466796875
  y: 0.01372939453125
  z: 0.0296912109375
rotation: 
  x: 0.3419555306594319
  y: 0.46001015334692585
  z: 0.4275359758548128
  w: 0.6990493996986458","translation: 
  x: -0.27771328125
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10338840071449433
  y: -0.14940661449178402
  z: 0.6477948554803087
  w: 0.739831283034888","translation: 
  x: -0.2792759765625
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.067391661712783
  y: 0.007935612339367562
  z: 0.6194661078454002
  w: 0.782085117630594",-2,3,-4,-2,4,-7,-9,0,1746824636545637369
0,0.036418915,20250509170356546,None,"translation: 
  x: -0.26777900390625
  y: 0.04375546875
  z: 0.02053828125
rotation: 
  x: -0.14601497214731773
  y: 0.03247490183209574
  z: 0.7344699602326618
  w: 0.6619508185474553","translation: 
  x: -0.27023466796875
  y: 0.01372939453125
  z: 0.0296912109375
rotation: 
  x: 0.3419555306594319
  y: 0.46001015334692585
  z: 0.4275359758548128
  w: 0.6990493996986458","translation: 
  x: -0.27771328125
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10338840071449433
  y: -0.14940661449178402
  z: 0.6477948554803087
  w: 0.739831283034888","translation: 
  x: -0.2792759765625
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.067391661712783
  y: 0.007935612339367562
  z: 0.6194661078454002
  w: 0.782085117630594",-6,1,3,4,3,7,0,1,1746824636545827865
0,0.051862717,20250509170356561,None,"translation: 
  x: -0.2676673828125
  y: 0.04375546875
  z: 0.02064990234375
rotation: 
  x: -0.14479269112884008
  y: 0.03271875313872608
  z: 0.7347069268240806
  w: 0.6619443265603465","translation: 
  x: -0.270123046875
  y: 0.01372939453125
  z: 0.02980283203125
rotation: 
  x: 0.34282609747971576
  y: 0.4605199571558005
  z: 0.4274338202551584
  w: 0.6983494578290507","translation: 
  x: -0.27749003906249997
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10449281811295501
  y: -0.14880460897160297
  z: 0.6477089870412842
  w: 0.7398726291853043","translation: 
  x: -0.27916435546875
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.06849137545973884
  y: 0.008790336957399635
  z: 0.61947457947008
  w: 0.781973725168676",-4,-7,-10,-1,12,2,5,-7,1746824636560856580
0,0.051980734,20250509170356561,None,"translation: 
  x: -0.2676673828125
  y: 0.04375546875
  z: 0.02064990234375
rotation: 
  x: -0.14479269112884008
  y: 0.03271875313872608
  z: 0.7347069268240806
  w: 0.6619443265603465","translation: 
  x: -0.270123046875
  y: 0.01372939453125
  z: 0.02980283203125
rotation: 
  x: 0.34282609747971576
  y: 0.4605199571558005
  z: 0.4274338202551584
  w: 0.6983494578290507","translation: 
  x: -0.27749003906249997
  y: -0.02444501953125
  z: 0.0341560546875
rotation: 
  x: 0.10449281811295501
  y: -0.14880460897160297
  z: 0.6477089870412842
  w: 0.7398726291853043","translation: 
  x: -0.27916435546875
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.06849137545973884
  y: 0.008790336957399635
  z: 0.61947457947008
  w: 0.781973725168676",3,6,-10,8,-8,0,10,-4,1746824636561058759
0,0.058558941,20250509170356568,None,"translation: 
  x: -0.267444140625
  y: 0.04375546875
  z: 0.0207615234375
rotation: 
  x: -0.14382222752140184
  y: 0.032964347564328096
  z: 0.7348607703321881
  w: 0.6619729351621737","translation: 
  x: -0.2698998046875
  y: 0.01372939453125
  z: 0.02980283203125
rotation: 
  x: 0.34355927712331075
  y: 0.4610091792528861
  z: 0.4273125337354612
  w: 0.6977403229423313","translation: 
  x: -0.277266796875
  y: -0.024556640625
  z: 0.03426767578125
rotation: 
  x: 0.10571981686951194
  y: -0.14808099060360044
  z: 0.6476254370586153
  w: 0.7399166397761108","translation: 
  x: -0.27894111328125
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.069464229545748
  y: 0.00964441851338153
  z: 0.61956232854951
  w: 0.7818083058189287",2,-9,5,-1,2,6,-4,1,1746824636567862510
0,0.058690548,20250509170356568,None,"translation: 
  x: -0.267444140625
  y: 0.04375546875
  z: 0.0207615234375
rotation: 
  x: -0.14382222752140184
  y: 0.032964347564328096
  z: 0.7348607703321881
  w: 0.6619729351621737","translation: 
  x: -0.2698998046875
  y: 0.01372939453125
  z: 0.02980283203125
rotation: 
  x: 0.34355927712331075
  y: 0.4610091792528861
  z: 0.4273125337354612
  w: 0.6977403229423313","translation: 
  x: -0.277266796875
  y: -0.024556640625
  z: 0.03426767578125
rotation: 
  x: 0.10571981686951194
  y: -0.14808099060360044
  z: 0.6476254370586153
  w: 0.7399166397761108","translation: 
  x: -0.27894111328125
  y: -0.079027734375
  z: 0.01953369140625
rotation: 
  x: 0.069464229545748
  y: 0.00964441851338153
  z: 0.61956232854951
  w: 0.7818083058189287",1,-1,2,8,8,0,-7,0,1746824636568142175
