gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.027490378,20250509170438561,None,"translation: 
  x: -0.26911845703125
  y: 0.040518457031249996
  z: 0.03571875
rotation: 
  x: -0.027220673363770632
  y: -0.051511767531440385
  z: 0.7150614554482886
  w: 0.6966295196728207","translation: 
  x: -0.2734716796875
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.4030119131646056
  y: 0.4044769670749283
  z: 0.4564863808913845
  w: 0.6823488587328023","translation: 
  x: -0.2846337890625
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.1535630298292352
  y: -0.177488589325682
  z: 0.6374452637267617
  w: 0.733879916799175","translation: 
  x: -0.2882056640625
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.029296178715679473
  y: -0.01916458357650699
  z: 0.6276706289834327
  w: 0.7776914774899748",4,-2,8,2,14,0,-5,5,1746824678560311794
0,0.027579546,20250509170438561,None,"translation: 
  x: -0.26911845703125
  y: 0.040518457031249996
  z: 0.03571875
rotation: 
  x: -0.027220673363770632
  y: -0.051511767531440385
  z: 0.7150614554482886
  w: 0.6966295196728207","translation: 
  x: -0.2734716796875
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.4030119131646056
  y: 0.4044769670749283
  z: 0.4564863808913845
  w: 0.6823488587328023","translation: 
  x: -0.2846337890625
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.1535630298292352
  y: -0.177488589325682
  z: 0.6374452637267617
  w: 0.733879916799175","translation: 
  x: -0.2882056640625
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.029296178715679473
  y: -0.01916458357650699
  z: 0.6276706289834327
  w: 0.7776914774899748",-3,-2,9,-1,-6,-8,-2,-2,1746824678560477733
0,0.035026312,20250509170438568,None,"translation: 
  x: -0.26911845703125
  y: 0.040518457031249996
  z: 0.03571875
rotation: 
  x: -0.027342929221627104
  y: -0.05126799229055083
  z: 0.7151884924531842
  w: 0.6965122952616263","translation: 
  x: -0.27336005859375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.40287238422563115
  y: 0.4048257048764221
  z: 0.4563445370410331
  w: 0.6823193198294099","translation: 
  x: -0.2846337890625
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15368554557086256
  y: -0.17736703551585645
  z: 0.6374471159420525
  w: 0.7338820492232132","translation: 
  x: -0.2882056640625
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.029540170265953958
  y: -0.01904242380780504
  z: 0.6276675847418814
  w: 0.7776877056379865",0,-7,-10,-8,-9,-2,-7,-5,1746824678567870616
0,0.035195828,20250509170438568,None,"translation: 
  x: -0.26911845703125
  y: 0.040518457031249996
  z: 0.03571875
rotation: 
  x: -0.027342929221627104
  y: -0.05126799229055083
  z: 0.7151884924531842
  w: 0.6965122952616263","translation: 
  x: -0.27336005859375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.40287238422563115
  y: 0.4048257048764221
  z: 0.4563445370410331
  w: 0.6823193198294099","translation: 
  x: -0.2846337890625
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15368554557086256
  y: -0.17736703551585645
  z: 0.6374471159420525
  w: 0.7338820492232132","translation: 
  x: -0.2882056640625
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.029540170265953958
  y: -0.01904242380780504
  z: 0.6276675847418814
  w: 0.7776877056379865",-4,2,5,3,-1,0,8,7,1746824678568082094
0,0.042639017,20250509170438576,None,"translation: 
  x: -0.2690068359375
  y: 0.040518457031249996
  z: 0.03571875
rotation: 
  x: -0.02746758219599274
  y: -0.05102866381299985
  z: 0.7152558403836509
  w: 0.6964558063472825","translation: 
  x: -0.27336005859375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.4027638323389695
  y: 0.40508347853916365
  z: 0.4563598682276654
  w: 0.682220156141304","translation: 
  x: -0.28452216796875
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15369400347516762
  y: -0.17713264419576502
  z: 0.6376042733525022
  w: 0.7338003613099541","translation: 
  x: -0.28809404296875
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.02978422579684778
  y: -0.018798240871780978
  z: 0.6276659387188167
  w: 0.7776856661955622",-1,9,-4,-6,4,-4,-4,-8,1746824678575208663
0,0.042868137,20250509170438576,None,"translation: 
  x: -0.2690068359375
  y: 0.040518457031249996
  z: 0.03571875
rotation: 
  x: -0.02746758219599274
  y: -0.05102866381299985
  z: 0.7152558403836509
  w: 0.6964558063472825","translation: 
  x: -0.27336005859375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.4027638323389695
  y: 0.40508347853916365
  z: 0.4563598682276654
  w: 0.682220156141304","translation: 
  x: -0.28452216796875
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15369400347516762
  y: -0.17713264419576502
  z: 0.6376042733525022
  w: 0.7338003613099541","translation: 
  x: -0.28809404296875
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.02978422579684778
  y: -0.018798240871780978
  z: 0.6276659387188167
  w: 0.7776856661955622",2,-2,1,-3,4,3,0,-3,1746824678575524568
0,0.057326317,20250509170438590,None,"translation: 
  x: -0.2690068359375
  y: 0.040518457031249996
  z: 0.03560712890625
rotation: 
  x: -0.027587330324211855
  y: -0.05090228648316966
  z: 0.7153175030968206
  w: 0.6963969889364098","translation: 
  x: -0.2732484375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.40262420764934015
  y: 0.40543207810899295
  z: 0.4562179090314082
  w: 0.6821904403712896","translation: 
  x: -0.284410546875
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15392704580633498
  y: -0.17687572511766805
  z: 0.6376803229915099
  w: 0.7337474007469309","translation: 
  x: -0.287982421875
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.030150231894827142
  y: -0.018553988858355165
  z: 0.6276619125635675
  w: 0.777680677740663",1,-4,2,2,3,-2,-4,0,1746824678590289354
0,0.057408333,20250509170438590,None,"translation: 
  x: -0.2690068359375
  y: 0.040518457031249996
  z: 0.03560712890625
rotation: 
  x: -0.027587330324211855
  y: -0.05090228648316966
  z: 0.7153175030968206
  w: 0.6963969889364098","translation: 
  x: -0.2732484375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.40262420764934015
  y: 0.40543207810899295
  z: 0.4562179090314082
  w: 0.6821904403712896","translation: 
  x: -0.284410546875
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15392704580633498
  y: -0.17687572511766805
  z: 0.6376803229915099
  w: 0.7337474007469309","translation: 
  x: -0.287982421875
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.030150231894827142
  y: -0.018553988858355165
  z: 0.6276619125635675
  w: 0.777680677740663",4,2,-4,2,15,0,0,-3,1746824678590454339
0,0.065363884,20250509170438598,None,"translation: 
  x: -0.2690068359375
  y: 0.040518457031249996
  z: 0.03560712890625
rotation: 
  x: -0.027587330324211855
  y: -0.05090228648316966
  z: 0.7153175030968206
  w: 0.6963969889364098","translation: 
  x: -0.2732484375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.40262420764934015
  y: 0.40543207810899295
  z: 0.4562179090314082
  w: 0.6821904403712896","translation: 
  x: -0.284410546875
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15392704580633498
  y: -0.17687572511766805
  z: 0.6376803229915099
  w: 0.7337474007469309","translation: 
  x: -0.287982421875
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.030150231894827142
  y: -0.018553988858355165
  z: 0.6276619125635675
  w: 0.777680677740663",-1,-6,0,1,0,5,2,-1,1746824678597923755
0,0.065478802,20250509170438598,None,"translation: 
  x: -0.2690068359375
  y: 0.040518457031249996
  z: 0.03560712890625
rotation: 
  x: -0.027587330324211855
  y: -0.05090228648316966
  z: 0.7153175030968206
  w: 0.6963969889364098","translation: 
  x: -0.2732484375
  y: 0.010045898437499999
  z: 0.03739306640625
rotation: 
  x: 0.40262420764934015
  y: 0.40543207810899295
  z: 0.4562179090314082
  w: 0.6821904403712896","translation: 
  x: -0.284410546875
  y: -0.0270123046875
  z: 0.0368349609375
rotation: 
  x: 0.15392704580633498
  y: -0.17687572511766805
  z: 0.6376803229915099
  w: 0.7337474007469309","translation: 
  x: -0.287982421875
  y: -0.07779990234375
  z: 0.01975693359375
rotation: 
  x: 0.030150231894827142
  y: -0.018553988858355165
  z: 0.6276619125635675
  w: 0.777680677740663",4,3,-6,7,6,4,-5,1,1746824678598119497
