gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.028011322,20250509170419301,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25187164484644
  y: 0.1668970133325659
  z: 0.7394990561487578
  w: 0.6015373699265197","translation: 
  x: -0.26956494140625
  y: 0.01238994140625
  z: 0.026007714843749998
rotation: 
  x: 0.30521551118823925
  y: 0.5064135761635267
  z: 0.38078687175844733
  w: 0.710907968659647","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10924932629770374
  y: -0.14757814021667467
  z: 0.6449982571587337
  w: 0.7417968222470903","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983389601702442
  y: 0.007447321078738617
  z: 0.6153196432269284
  w: 0.7851429812683286",-6,-2,-8,-10,-5,1,-3,-7,1746824659300429821
0,0.028140783,20250509170419301,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25187164484644
  y: 0.1668970133325659
  z: 0.7394990561487578
  w: 0.6015373699265197","translation: 
  x: -0.26956494140625
  y: 0.01238994140625
  z: 0.026007714843749998
rotation: 
  x: 0.30521551118823925
  y: 0.5064135761635267
  z: 0.38078687175844733
  w: 0.710907968659647","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10924932629770374
  y: -0.14757814021667467
  z: 0.6449982571587337
  w: 0.7417968222470903","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983389601702442
  y: 0.007447321078738617
  z: 0.6153196432269284
  w: 0.7851429812683286",-2,1,-2,12,4,2,3,0,1746824659300655603
0,0.035462617,20250509170419308,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25187164484644
  y: 0.1668970133325659
  z: 0.7394990561487578
  w: 0.6015373699265197","translation: 
  x: -0.26956494140625
  y: 0.01238994140625
  z: 0.026007714843749998
rotation: 
  x: 0.30521551118823925
  y: 0.5064135761635267
  z: 0.38078687175844733
  w: 0.710907968659647","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10924932629770374
  y: -0.14757814021667467
  z: 0.6449982571587337
  w: 0.7417968222470903","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983389601702442
  y: 0.007447321078738617
  z: 0.6153196432269284
  w: 0.7851429812683286",4,-2,2,-1,-2,-1,0,1,1746824659307888984
0,0.035590887,20250509170419308,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25187164484644
  y: 0.1668970133325659
  z: 0.7394990561487578
  w: 0.6015373699265197","translation: 
  x: -0.26956494140625
  y: 0.01238994140625
  z: 0.026007714843749998
rotation: 
  x: 0.30521551118823925
  y: 0.5064135761635267
  z: 0.38078687175844733
  w: 0.710907968659647","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10924932629770374
  y: -0.14757814021667467
  z: 0.6449982571587337
  w: 0.7417968222470903","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06983389601702442
  y: 0.007447321078738617
  z: 0.6153196432269284
  w: 0.7851429812683286",0,3,-2,2,-12,1,3,-5,1746824659308023691
0,0.043099641,20250509170419316,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.2518540348501856
  y: 0.1667632630176217
  z: 0.7395694343782959
  w: 0.6014953125093865","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30521551118823925
  y: 0.5064135761635267
  z: 0.38078687175844733
  w: 0.710907968659647","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10937983679536646
  y: -0.14758953424731927
  z: 0.6450480553869603
  w: 0.7417320182685788","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06995670638143899
  y: 0.007691575047173922
  z: 0.6154480922667259
  w: 0.7850290087829891",5,1,8,7,8,-5,1,-4,1746824659315553426
0,0.043221473,20250509170419316,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.2518540348501856
  y: 0.1667632630176217
  z: 0.7395694343782959
  w: 0.6014953125093865","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.30521551118823925
  y: 0.5064135761635267
  z: 0.38078687175844733
  w: 0.710907968659647","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10937983679536646
  y: -0.14758953424731927
  z: 0.6450480553869603
  w: 0.7417320182685788","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.06995670638143899
  y: 0.007691575047173922
  z: 0.6154480922667259
  w: 0.7850290087829891",-4,-3,1,1,-1,4,1,7,1746824659315712213
0,0.05792737,20250509170419331,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25173969180781847
  y: 0.16676838943233752
  z: 0.7395921692394589
  w: 0.6015138028793025","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.305220187924529
  y: 0.5062992477292088
  z: 0.3809147945298122
  w: 0.7109188617138129","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10937983679536646
  y: -0.14758953424731927
  z: 0.6450480553869603
  w: 0.7417320182685788","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.0700728640564151
  y: 0.00781300226412991
  z: 0.6155180846209841
  w: 0.7849625712243017",-1,-3,-8,-2,4,-5,2,-1,1746824659330228328
0,0.058012724,20250509170419331,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.25173969180781847
  y: 0.16676838943233752
  z: 0.7395921692394589
  w: 0.6015138028793025","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.305220187924529
  y: 0.5062992477292088
  z: 0.3809147945298122
  w: 0.7109188617138129","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.03471416015625
rotation: 
  x: 0.10937983679536646
  y: -0.14758953424731927
  z: 0.6450480553869603
  w: 0.7417320182685788","translation: 
  x: -0.27938759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.0700728640564151
  y: 0.00781300226412991
  z: 0.6155180846209841
  w: 0.7849625712243017",3,1,-2,-8,-6,-1,3,-4,1746824659330419540
0,0.065548896,20250509170419338,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.2517448154964523
  y: 0.16664969600031876
  z: 0.7396072222490339
  w: 0.6015260455630553","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.305220187924529
  y: 0.5062992477292088
  z: 0.3809147945298122
  w: 0.7109188617138129","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937122391534906
  y: -0.14757791262684933
  z: 0.6451193285631918
  w: 0.7416736121759607","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.07007424518572347
  y: 0.007935236824167292
  z: 0.6156522969888563
  w: 0.7848559621934083",0,5,-1,-5,7,-10,6,3,1746824659337968349
0,0.065677881,20250509170419338,None,"translation: 
  x: -0.2685603515625
  y: 0.039290625
  z: 0.00680888671875
rotation: 
  x: -0.2517448154964523
  y: 0.16664969600031876
  z: 0.7396072222490339
  w: 0.6015260455630553","translation: 
  x: -0.26956494140625
  y: 0.0125015625
  z: 0.026007714843749998
rotation: 
  x: 0.305220187924529
  y: 0.5062992477292088
  z: 0.3809147945298122
  w: 0.7109188617138129","translation: 
  x: -0.27693193359375
  y: -0.025784472656249998
  z: 0.0346025390625
rotation: 
  x: 0.10937122391534906
  y: -0.14757791262684933
  z: 0.6451193285631918
  w: 0.7416736121759607","translation: 
  x: -0.2792759765625
  y: -0.08003232421874999
  z: 0.019198828125
rotation: 
  x: 0.07007424518572347
  y: 0.007935236824167292
  z: 0.6156522969888563
  w: 0.7848559621934083",2,-1,-1,-5,-1,-10,-5,0,1746824659338191270
