gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.017632961,20250509170338707,None,4,-1,5,7,11,4,10,0,1746824618703105211,,,,
0,0.017772913,20250509170338707,None,2,-1,5,13,9,0,4,-9,1746824618703309774,,,,
0,0.021700382,20250509170338711,None,5,-4,5,4,1,-6,-3,-2,1746824618710759639,,,,
0,0.021816969,20250509170338711,None,-3,-3,11,-1,-10,-8,-4,-6,1746824618710963964,,,,
0,0.028651953,20250509170338718,None,-3,-1,8,-6,-8,-5,0,-2,1746824618718201398,"translation: 
  x: -0.26688603515625
  y: 0.04297412109375
  z: 0.01931044921875
rotation: 
  x: -0.1539486662420583
  y: 0.04053208341979648
  z: 0.7282345710815844
  w: 0.6665818538315926","translation: 
  x: -0.2694533203125
  y: 0.012948046874999999
  z: 0.02890986328125
rotation: 
  x: 0.33010734997068036
  y: 0.4513339026781085
  z: 0.4314346800282487
  w: 0.707948418076914","translation: 
  x: -0.27659707031249997
  y: -0.02511474609375
  z: 0.03359794921875
rotation: 
  x: 0.09813848523692821
  y: -0.14977104649964046
  z: 0.6483975542021925
  w: 0.7399446486396254","translation: 
  x: -0.27804814453125
  y: -0.07980908203125
  z: 0.0194220703125
rotation: 
  x: 0.07410058915699767
  y: 0.01428298011757616
  z: 0.6217369037505587
  w: 0.7795821455627465"
0,0.028791428,20250509170338718,None,-1,-1,3,2,2,-2,-1,-2,1746824618718617677,"translation: 
  x: -0.26688603515625
  y: 0.04297412109375
  z: 0.01931044921875
rotation: 
  x: -0.1539486662420583
  y: 0.04053208341979648
  z: 0.7282345710815844
  w: 0.6665818538315926","translation: 
  x: -0.2694533203125
  y: 0.012948046874999999
  z: 0.02890986328125
rotation: 
  x: 0.33010734997068036
  y: 0.4513339026781085
  z: 0.4314346800282487
  w: 0.707948418076914","translation: 
  x: -0.27659707031249997
  y: -0.02511474609375
  z: 0.03359794921875
rotation: 
  x: 0.09813848523692821
  y: -0.14977104649964046
  z: 0.6483975542021925
  w: 0.7399446486396254","translation: 
  x: -0.27804814453125
  y: -0.07980908203125
  z: 0.0194220703125
rotation: 
  x: 0.07410058915699767
  y: 0.01428298011757616
  z: 0.6217369037505587
  w: 0.7795821455627465"
0,0.044474363,20250509170338734,None,0,-2,7,3,5,3,1,1,1746824618733765840,"translation: 
  x: -0.26699765625
  y: 0.04297412109375
  z: 0.01931044921875
rotation: 
  x: -0.15455980101747194
  y: 0.04028809979128415
  z: 0.728115839864299
  w: 0.6665849238194287","translation: 
  x: -0.26956494140625
  y: 0.013059667968749999
  z: 0.02890986328125
rotation: 
  x: 0.32974290037802195
  y: 0.4510921943342433
  z: 0.43155910878797027
  w: 0.7081964328370625","translation: 
  x: -0.27670869140625
  y: -0.02511474609375
  z: 0.03359794921875
rotation: 
  x: 0.09765241797868858
  y: -0.15001852711976035
  z: 0.6485341209009656
  w: 0.7398391317110395","translation: 
  x: -0.27804814453125
  y: -0.07980908203125
  z: 0.0194220703125
rotation: 
  x: 0.07349389541469227
  y: 0.013917448633347044
  z: 0.6217681218389166
  w: 0.7796212892329317"
0,0.044622421,20250509170338734,None,-1,-4,-2,-5,-10,-6,-10,1,1746824618733984470,"translation: 
  x: -0.26699765625
  y: 0.04297412109375
  z: 0.01931044921875
rotation: 
  x: -0.15455980101747194
  y: 0.04028809979128415
  z: 0.728115839864299
  w: 0.6665849238194287","translation: 
  x: -0.26956494140625
  y: 0.013059667968749999
  z: 0.02890986328125
rotation: 
  x: 0.32974290037802195
  y: 0.4510921943342433
  z: 0.43155910878797027
  w: 0.7081964328370625","translation: 
  x: -0.27670869140625
  y: -0.02511474609375
  z: 0.03359794921875
rotation: 
  x: 0.09765241797868858
  y: -0.15001852711976035
  z: 0.6485341209009656
  w: 0.7398391317110395","translation: 
  x: -0.27804814453125
  y: -0.07980908203125
  z: 0.0194220703125
rotation: 
  x: 0.07349389541469227
  y: 0.013917448633347044
  z: 0.6217681218389166
  w: 0.7796212892329317"
0,0.051212788,20250509170338741,None,7,7,-2,-1,1,2,3,3,1746824618740697622,"translation: 
  x: -0.26710927734375
  y: 0.04297412109375
  z: 0.019198828125
rotation: 
  x: -0.15505055778518767
  y: 0.04004455350672563
  z: 0.7281271863235113
  w: 0.6664732243695586","translation: 
  x: -0.2696765625
  y: 0.013059667968749999
  z: 0.02890986328125
rotation: 
  x: 0.3295330517290373
  y: 0.4508949833402501
  z: 0.431604052561003
  w: 0.7083922808936177","translation: 
  x: -0.27670869140625
  y: -0.025003125
  z: 0.03359794921875
rotation: 
  x: 0.09716451420769537
  y: -0.1503852782712069
  z: 0.6486585785172024
  w: 0.7397197940937612","translation: 
  x: -0.278159765625
  y: -0.07980908203125
  z: 0.0194220703125
rotation: 
  x: 0.07300300047458934
  y: 0.01355072416836023
  z: 0.6218683685912343
  w: 0.7795939147671029"
0,0.051329374,20250509170338741,None,-3,-3,1,4,7,-3,-1,2,1746824618740873098,"translation: 
  x: -0.26710927734375
  y: 0.04297412109375
  z: 0.019198828125
rotation: 
  x: -0.15505055778518767
  y: 0.04004455350672563
  z: 0.7281271863235113
  w: 0.6664732243695586","translation: 
  x: -0.2696765625
  y: 0.013059667968749999
  z: 0.02890986328125
rotation: 
  x: 0.3295330517290373
  y: 0.4508949833402501
  z: 0.431604052561003
  w: 0.7083922808936177","translation: 
  x: -0.27670869140625
  y: -0.025003125
  z: 0.03359794921875
rotation: 
  x: 0.09716451420769537
  y: -0.1503852782712069
  z: 0.6486585785172024
  w: 0.7397197940937612","translation: 
  x: -0.278159765625
  y: -0.07980908203125
  z: 0.0194220703125
rotation: 
  x: 0.07300300047458934
  y: 0.01355072416836023
  z: 0.6218683685912343
  w: 0.7795939147671029"
