gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.012938738,20250509170927451,None,-2,-4,1,8,4,0,1,-2,1746824967451303958,,,,
0,0.013016463,20250509170927451,None,4,5,-1,-2,-6,-2,-4,-2,1746824967451438426,,,,
0,0.020989418,20250509170927459,None,2,-3,0,0,-7,-8,6,5,1746824967458889961,,,,
0,0.021060467,20250509170927459,None,1,5,3,8,10,-2,-4,-7,1746824967459011554,,,,
0,0.028149605,20250509170927466,None,2,-4,1,0,8,-7,3,-1,1746824967466342687,"translation: 
  x: -0.310753125
  y: 0.0125015625
  z: 0.0993427734375
rotation: 
  x: -0.2597710791422873
  y: -0.4432466110740814
  z: 0.695937463435235
  w: 0.5017195184562033","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.27420810838359194
  y: 0.22305352360499656
  z: 0.6079948262467888
  w: 0.7109144323765165","translation: 
  x: -0.30751611328125
  y: -0.051568945312499996
  z: 0.0895201171875
rotation: 
  x: -0.06311297831262293
  y: -0.38478163953846695
  z: 0.5696037849259158
  w: 0.7235408558199535","translation: 
  x: -0.308520703125
  y: -0.10626328125
  z: 0.07043291015625
rotation: 
  x: 0.027710341442450263
  y: -0.17846924752802765
  z: 0.5825275302351217
  w: 0.7924913508563306"
0,0.028288841,20250509170927467,None,-2,-5,-2,-2,-8,2,4,2,1746824967466676473,"translation: 
  x: -0.310753125
  y: 0.0125015625
  z: 0.0993427734375
rotation: 
  x: -0.2597710791422873
  y: -0.4432466110740814
  z: 0.695937463435235
  w: 0.5017195184562033","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.27420810838359194
  y: 0.22305352360499656
  z: 0.6079948262467888
  w: 0.7109144323765165","translation: 
  x: -0.30751611328125
  y: -0.051568945312499996
  z: 0.0895201171875
rotation: 
  x: -0.06311297831262293
  y: -0.38478163953846695
  z: 0.5696037849259158
  w: 0.7235408558199535","translation: 
  x: -0.308520703125
  y: -0.10626328125
  z: 0.07043291015625
rotation: 
  x: 0.027710341442450263
  y: -0.17846924752802765
  z: 0.5825275302351217
  w: 0.7924913508563306"
0,0.043523312,20250509170927482,None,1,-7,-4,-3,0,-1,-6,-2,1746824967481631278,"translation: 
  x: -0.310753125
  y: 0.0125015625
  z: 0.09923115234375
rotation: 
  x: -0.2598884775869769
  y: -0.44323863885312964
  z: 0.6961690876836679
  w: 0.5013442825033886","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.27395642243212
  y: 0.22341366000480375
  z: 0.6078560727671682
  w: 0.7110170250644683","translation: 
  x: -0.30751611328125
  y: -0.051457324218749996
  z: 0.0895201171875
rotation: 
  x: -0.0633550723175732
  y: -0.3844029339653912
  z: 0.5697073651370215
  w: 0.7236394387255761","translation: 
  x: -0.30840908203125
  y: -0.10626328125
  z: 0.07043291015625
rotation: 
  x: 0.02819746697527995
  y: -0.17821775664029757
  z: 0.5826255838658495
  w: 0.7924586822663094"
0,0.043707609,20250509170927482,None,-1,-5,4,8,12,9,2,11,1746824967481794357,"translation: 
  x: -0.310753125
  y: 0.0125015625
  z: 0.09923115234375
rotation: 
  x: -0.2598884775869769
  y: -0.44323863885312964
  z: 0.6961690876836679
  w: 0.5013442825033886","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.27395642243212
  y: 0.22341366000480375
  z: 0.6078560727671682
  w: 0.7110170250644683","translation: 
  x: -0.30751611328125
  y: -0.051457324218749996
  z: 0.0895201171875
rotation: 
  x: -0.0633550723175732
  y: -0.3844029339653912
  z: 0.5697073651370215
  w: 0.7236394387255761","translation: 
  x: -0.30840908203125
  y: -0.10626328125
  z: 0.07043291015625
rotation: 
  x: 0.02819746697527995
  y: -0.17821775664029757
  z: 0.5826255838658495
  w: 0.7924586822663094"
0,0.050550223,20250509170927489,None,4,-12,-3,-7,-9,-8,-8,0,1746824967488901615,"translation: 
  x: -0.31064150390625
  y: 0.0125015625
  z: 0.09923115234375
rotation: 
  x: -0.2598963530059822
  y: -0.4431299959660475
  z: 0.6963122581240592
  w: 0.501237400395755","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.2737249957999042
  y: 0.2237903288587085
  z: 0.607640189159734
  w: 0.7111722125488146","translation: 
  x: -0.30751611328125
  y: -0.051457324218749996
  z: 0.08963173828125
rotation: 
  x: -0.06347997643642982
  y: -0.3840538574404004
  z: 0.5697327885169576
  w: 0.7237938082530622","translation: 
  x: -0.30840908203125
  y: -0.10626328125
  z: 0.07054453125
rotation: 
  x: 0.028929091967168953
  y: -0.1778467805745366
  z: 0.5827320044357156
  w: 0.7924374052778937"
0,0.050637007,20250509170927489,None,-8,-8,-5,8,5,6,-2,-6,1746824967489076375,"translation: 
  x: -0.31064150390625
  y: 0.0125015625
  z: 0.09923115234375
rotation: 
  x: -0.2598963530059822
  y: -0.4431299959660475
  z: 0.6963122581240592
  w: 0.501237400395755","translation: 
  x: -0.30595341796875
  y: -0.01518046875
  z: 0.0939849609375
rotation: 
  x: 0.2737249957999042
  y: 0.2237903288587085
  z: 0.607640189159734
  w: 0.7111722125488146","translation: 
  x: -0.30751611328125
  y: -0.051457324218749996
  z: 0.08963173828125
rotation: 
  x: -0.06347997643642982
  y: -0.3840538574404004
  z: 0.5697327885169576
  w: 0.7237938082530622","translation: 
  x: -0.30840908203125
  y: -0.10626328125
  z: 0.07054453125
rotation: 
  x: 0.028929091967168953
  y: -0.1778467805745366
  z: 0.5827320044357156
  w: 0.7924374052778937"
