gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.02115655,20250509170749968,None,"translation: 
  x: -0.30863232421875
  y: 0.0140642578125
  z: 0.07623720703125
rotation: 
  x: 0.03881962245739445
  y: -0.4453269896999209
  z: 0.5407890801454632
  w: 0.712547598376765","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4485159165480539
  y: 0.07593274362898461
  z: 0.5108979615551458
  w: 0.7294182366289116","translation: 
  x: -0.3346400390625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.1226917199829194
  y: -0.4910110425585092
  z: 0.4755067157546975
  w: 0.719547261272962","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165708387077625
  y: -0.12866536013594237
  z: 0.5966947631351863
  w: 0.7888382895621058",-4,-2,2,-3,-9,0,1,-4,1746824869966906309
0,0.02295208,20250509170749969,None,"translation: 
  x: -0.30863232421875
  y: 0.0140642578125
  z: 0.07623720703125
rotation: 
  x: 0.03881962245739445
  y: -0.4453269896999209
  z: 0.5407890801454632
  w: 0.712547598376765","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4485159165480539
  y: 0.07593274362898461
  z: 0.5108979615551458
  w: 0.7294182366289116","translation: 
  x: -0.3346400390625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.1226917199829194
  y: -0.4910110425585092
  z: 0.4755067157546975
  w: 0.719547261272962","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165708387077625
  y: -0.12866536013594237
  z: 0.5966947631351863
  w: 0.7888382895621058",2,-1,-5,10,7,-1,-11,1,1746824869967069149
0,0.027931452,20250509170749974,None,"translation: 
  x: -0.30863232421875
  y: 0.0140642578125
  z: 0.07623720703125
rotation: 
  x: 0.03881962245739445
  y: -0.4453269896999209
  z: 0.5407890801454632
  w: 0.712547598376765","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4485159165480539
  y: 0.07593274362898461
  z: 0.5108979615551458
  w: 0.7294182366289116","translation: 
  x: -0.3346400390625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.1226917199829194
  y: -0.4910110425585092
  z: 0.4755067157546975
  w: 0.719547261272962","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165708387077625
  y: -0.12866536013594237
  z: 0.5966947631351863
  w: 0.7888382895621058",-3,-5,-5,1,5,5,-2,1,1746824869974331617
0,0.027993918,20250509170749974,None,"translation: 
  x: -0.30863232421875
  y: 0.0140642578125
  z: 0.07623720703125
rotation: 
  x: 0.03881962245739445
  y: -0.4453269896999209
  z: 0.5407890801454632
  w: 0.712547598376765","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4485159165480539
  y: 0.07593274362898461
  z: 0.5108979615551458
  w: 0.7294182366289116","translation: 
  x: -0.3346400390625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.1226917199829194
  y: -0.4910110425585092
  z: 0.4755067157546975
  w: 0.719547261272962","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165708387077625
  y: -0.12866536013594237
  z: 0.5966947631351863
  w: 0.7888382895621058",-5,-6,2,0,4,-3,1,-1,1746824869974463701
0,0.035609722,20250509170749982,None,"translation: 
  x: -0.30863232421875
  y: 0.01395263671875
  z: 0.07623720703125
rotation: 
  x: 0.03930913161305809
  y: -0.44448617454392697
  z: 0.5414161450432069
  w: 0.7125695690230436","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4486694864607962
  y: 0.07581598669174272
  z: 0.5110559102924879
  w: 0.7292252633007715","translation: 
  x: -0.33475166015625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.12305928536816578
  y: -0.4912604804776778
  z: 0.47551182193353747
  w: 0.7193108228067788","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165186436533236
  y: -0.12865598814490684
  z: 0.5967733643647528
  w: 0.7887808305430626",-5,-5,-7,-4,-3,-10,-3,-8,1746824869981854677
0,0.035683155,20250509170749982,None,"translation: 
  x: -0.30863232421875
  y: 0.01395263671875
  z: 0.07623720703125
rotation: 
  x: 0.03930913161305809
  y: -0.44448617454392697
  z: 0.5414161450432069
  w: 0.7125695690230436","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4486694864607962
  y: 0.07581598669174272
  z: 0.5110559102924879
  w: 0.7292252633007715","translation: 
  x: -0.33475166015625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.12305928536816578
  y: -0.4912604804776778
  z: 0.47551182193353747
  w: 0.7193108228067788","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165186436533236
  y: -0.12865598814490684
  z: 0.5967733643647528
  w: 0.7887808305430626",5,2,7,-4,-6,3,-4,-7,1746824869982016801
0,0.04336381,20250509170749990,None,"translation: 
  x: -0.30863232421875
  y: 0.01395263671875
  z: 0.07623720703125
rotation: 
  x: 0.03967375283424853
  y: -0.44373566631536415
  z: 0.5418824271730127
  w: 0.712662673988747","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4489085818291913
  y: 0.07569304344141925
  z: 0.5110501287835177
  w: 0.7290949281163802","translation: 
  x: -0.33475166015625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.12341599257697562
  y: -0.4914666529326448
  z: 0.47547506536826917
  w: 0.7191331476468481","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165763754586335
  y: -0.1287884286386471
  z: 0.596821447975683
  w: 0.7887223103642643",2,11,-8,-5,7,0,-7,3,1746824869989578247
0,0.043471814,20250509170749990,None,"translation: 
  x: -0.30863232421875
  y: 0.01395263671875
  z: 0.07623720703125
rotation: 
  x: 0.03967375283424853
  y: -0.44373566631536415
  z: 0.5418824271730127
  w: 0.712662673988747","translation: 
  x: -0.3161109375
  y: -0.0073669921875
  z: 0.05837783203125
rotation: 
  x: 0.4489085818291913
  y: 0.07569304344141925
  z: 0.5110501287835177
  w: 0.7290949281163802","translation: 
  x: -0.33475166015625
  y: -0.03449091796875
  z: 0.03806279296875
rotation: 
  x: 0.12341599257697562
  y: -0.4914666529326448
  z: 0.47547506536826917
  w: 0.7191331476468481","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165763754586335
  y: -0.1287884286386471
  z: 0.596821447975683
  w: 0.7887223103642643",-1,1,3,-3,-2,-4,0,6,1746824869989736080
0,0.058380843,20250509170750005,None,"translation: 
  x: -0.30863232421875
  y: 0.013841015625
  z: 0.07623720703125
rotation: 
  x: 0.04004179116115385
  y: -0.44302335403605897
  z: 0.5423953601494103
  w: 0.7126950512159032","translation: 
  x: -0.3161109375
  y: -0.00747861328125
  z: 0.05837783203125
rotation: 
  x: 0.44904602133755955
  y: 0.07569563165559731
  z: 0.5110676034037588
  w: 0.7289977687347929","translation: 
  x: -0.33475166015625
  y: -0.0346025390625
  z: 0.03806279296875
rotation: 
  x: 0.12366327545985124
  y: -0.491723271028905
  z: 0.4754871252873845
  w: 0.7189072351264203","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165241685181907
  y: -0.12877904561953854
  z: 0.5969000313550175
  w: 0.7886648471543493",-10,-7,-2,-7,-7,-6,0,1,1746824870004564046
0,0.058526755,20250509170750005,None,"translation: 
  x: -0.30863232421875
  y: 0.013841015625
  z: 0.07623720703125
rotation: 
  x: 0.04004179116115385
  y: -0.44302335403605897
  z: 0.5423953601494103
  w: 0.7126950512159032","translation: 
  x: -0.3161109375
  y: -0.00747861328125
  z: 0.05837783203125
rotation: 
  x: 0.44904602133755955
  y: 0.07569563165559731
  z: 0.5110676034037588
  w: 0.7289977687347929","translation: 
  x: -0.33475166015625
  y: -0.0346025390625
  z: 0.03806279296875
rotation: 
  x: 0.12366327545985124
  y: -0.491723271028905
  z: 0.4754871252873845
  w: 0.7189072351264203","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165241685181907
  y: -0.12877904561953854
  z: 0.5969000313550175
  w: 0.7886648471543493",-1,8,-1,1,-1,1,2,-3,1746824870004699707
0,0.065510989,20250509170750012,None,"translation: 
  x: -0.30863232421875
  y: 0.013841015625
  z: 0.07623720703125
rotation: 
  x: 0.04004179116115385
  y: -0.44302335403605897
  z: 0.5423953601494103
  w: 0.7126950512159032","translation: 
  x: -0.3161109375
  y: -0.00747861328125
  z: 0.05837783203125
rotation: 
  x: 0.44904602133755955
  y: 0.07569563165559731
  z: 0.5110676034037588
  w: 0.7289977687347929","translation: 
  x: -0.33475166015625
  y: -0.0346025390625
  z: 0.03806279296875
rotation: 
  x: 0.12366327545985124
  y: -0.491723271028905
  z: 0.4754871252873845
  w: 0.7189072351264203","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165241685181907
  y: -0.12877904561953854
  z: 0.5969000313550175
  w: 0.7886648471543493",-6,0,-2,-7,-9,-4,-3,-4,1746824870012008190
0,0.065602541,20250509170750012,None,"translation: 
  x: -0.30863232421875
  y: 0.013841015625
  z: 0.07623720703125
rotation: 
  x: 0.04004179116115385
  y: -0.44302335403605897
  z: 0.5423953601494103
  w: 0.7126950512159032","translation: 
  x: -0.3161109375
  y: -0.00747861328125
  z: 0.05837783203125
rotation: 
  x: 0.44904602133755955
  y: 0.07569563165559731
  z: 0.5110676034037588
  w: 0.7289977687347929","translation: 
  x: -0.33475166015625
  y: -0.0346025390625
  z: 0.03806279296875
rotation: 
  x: 0.12366327545985124
  y: -0.491723271028905
  z: 0.4754871252873845
  w: 0.7189072351264203","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07165241685181907
  y: -0.12877904561953854
  z: 0.5969000313550175
  w: 0.7886648471543493",5,-1,5,6,12,-3,3,-1,1746824870012228012
0,0.080438137,20250509170750027,None,"translation: 
  x: -0.3087439453125
  y: 0.013841015625
  z: 0.0761255859375
rotation: 
  x: 0.04040783164064824
  y: -0.4418004311405016
  z: 0.5433693614275691
  w: 0.7126916045864184","translation: 
  x: -0.31622255859375
  y: -0.00747861328125
  z: 0.058489453125
rotation: 
  x: 0.4493985785115387
  y: 0.07544915010055171
  z: 0.511174096231408
  w: 0.7287313542883386","translation: 
  x: -0.33486328125
  y: -0.0346025390625
  z: 0.03806279296875
rotation: 
  x: 0.12415806414650776
  y: -0.4921151982050862
  z: 0.4756340392475852
  w: 0.7184564478881006","translation: 
  x: -0.33743056640625
  y: -0.06552158203125
  z: 0.01082724609375
rotation: 
  x: -0.07178076393098852
  y: -0.12879031623672257
  z: 0.5969522714668942
  w: 0.788611794207799",0,1,1,1,-2,-11,-4,5,1746824870026888608
