gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.00172782,20250509170804584,None,6,-3,3,1,3,4,4,0,1746824884584244966,,,,
0,0.002075911,20250509170804585,None,0,0,4,6,-1,6,-8,6,1746824884584384918,,,,
0,0.009771109,20250509170804592,None,7,0,5,5,3,10,4,6,1746824884591984748,,,,
0,0.010025978,20250509170804593,None,0,-3,-4,0,3,4,4,2,1746824884592183589,,,,
0,0.017100811,20250509170804600,None,-1,-7,-8,-12,-10,2,-1,-7,1746824884599532365,,,,
0,0.017322064,20250509170804600,None,2,-2,4,4,1,-4,-7,1,1746824884599777460,,,,
0,0.032042265,20250509170804615,None,4,-4,-2,-3,-3,1,1,-2,1746824884614465475,"translation: 
  x: -0.312092578125
  y: 0.01529208984375
  z: 0.07858125
rotation: 
  x: -0.19397551190520598
  y: -0.4384896405056638
  z: 0.6152527249856753
  w: 0.6257510849755101","translation: 
  x: -0.3136552734375
  y: -0.01238994140625
  z: 0.06619130859375
rotation: 
  x: 0.36491796865014886
  y: 0.09852418892628641
  z: 0.5889475680054593
  w: 0.714330891459358","translation: 
  x: -0.32001767578125
  y: -0.0457646484375
  z: 0.05056435546875
rotation: 
  x: 0.03015321349125479
  y: -0.4679241591578121
  z: 0.5227370857066923
  w: 0.7119576561983721","translation: 
  x: -0.32068740234375
  y: -0.0872876953125
  z: 0.027235546875
rotation: 
  x: -0.06616270436900298
  y: -0.1512464773306175
  z: 0.5695852003427452
  w: 0.8051830221733278"
0,0.032954693,20250509170804616,None,-2,-1,-3,-6,0,-10,0,-1,1746824884614895820,"translation: 
  x: -0.312092578125
  y: 0.01529208984375
  z: 0.07858125
rotation: 
  x: -0.19397551190520598
  y: -0.4384896405056638
  z: 0.6152527249856753
  w: 0.6257510849755101","translation: 
  x: -0.3136552734375
  y: -0.01238994140625
  z: 0.06619130859375
rotation: 
  x: 0.36491796865014886
  y: 0.09852418892628641
  z: 0.5889475680054593
  w: 0.714330891459358","translation: 
  x: -0.32001767578125
  y: -0.0457646484375
  z: 0.05056435546875
rotation: 
  x: 0.03015321349125479
  y: -0.4679241591578121
  z: 0.5227370857066923
  w: 0.7119576561983721","translation: 
  x: -0.32068740234375
  y: -0.0872876953125
  z: 0.027235546875
rotation: 
  x: -0.06616270436900298
  y: -0.1512464773306175
  z: 0.5695852003427452
  w: 0.8051830221733278"
0,0.039654017,20250509170804622,None,0,-4,-2,4,-3,1,1,-1,1746824884621849536,"translation: 
  x: -0.312092578125
  y: 0.01529208984375
  z: 0.07858125
rotation: 
  x: -0.19397551190520598
  y: -0.4384896405056638
  z: 0.6152527249856753
  w: 0.6257510849755101","translation: 
  x: -0.3136552734375
  y: -0.01238994140625
  z: 0.06619130859375
rotation: 
  x: 0.36491796865014886
  y: 0.09852418892628641
  z: 0.5889475680054593
  w: 0.714330891459358","translation: 
  x: -0.32001767578125
  y: -0.0457646484375
  z: 0.05056435546875
rotation: 
  x: 0.03015321349125479
  y: -0.4679241591578121
  z: 0.5227370857066923
  w: 0.7119576561983721","translation: 
  x: -0.32068740234375
  y: -0.0872876953125
  z: 0.027235546875
rotation: 
  x: -0.06616270436900298
  y: -0.1512464773306175
  z: 0.5695852003427452
  w: 0.8051830221733278"
0,0.039880991,20250509170804622,None,-1,1,1,6,6,5,1,-1,1746824884622098445,"translation: 
  x: -0.312092578125
  y: 0.01529208984375
  z: 0.07858125
rotation: 
  x: -0.19397551190520598
  y: -0.4384896405056638
  z: 0.6152527249856753
  w: 0.6257510849755101","translation: 
  x: -0.3136552734375
  y: -0.01238994140625
  z: 0.06619130859375
rotation: 
  x: 0.36491796865014886
  y: 0.09852418892628641
  z: 0.5889475680054593
  w: 0.714330891459358","translation: 
  x: -0.32001767578125
  y: -0.0457646484375
  z: 0.05056435546875
rotation: 
  x: 0.03015321349125479
  y: -0.4679241591578121
  z: 0.5227370857066923
  w: 0.7119576561983721","translation: 
  x: -0.32068740234375
  y: -0.0872876953125
  z: 0.027235546875
rotation: 
  x: -0.06616270436900298
  y: -0.1512464773306175
  z: 0.5695852003427452
  w: 0.8051830221733278"
0,0.046878576,20250509170804629,None,-3,3,-5,0,-12,-4,5,0,1746824884629356384,"translation: 
  x: -0.312092578125
  y: 0.0149572265625
  z: 0.07891611328125
rotation: 
  x: -0.19654156473433623
  y: -0.4229916284499845
  z: 0.6197773441964131
  w: 0.6311303662587071","translation: 
  x: -0.31421337890625
  y: -0.012948046874999999
  z: 0.0667494140625
rotation: 
  x: 0.36553513234322854
  y: 0.10108987627928964
  z: 0.587371249733892
  w: 0.7149544873085993","translation: 
  x: -0.3207990234375
  y: -0.04654599609375
  z: 0.05089921875
rotation: 
  x: 0.035157463343295114
  y: -0.47389330798149903
  z: 0.5236997143845005
  w: 0.7070556516818245","translation: 
  x: -0.3207990234375
  y: -0.08739931640625
  z: 0.02734716796875
rotation: 
  x: -0.06567250018296018
  y: -0.15099792328312595
  z: 0.5695685610663425
  w: 0.8052815682286031"
0,0.046968699,20250509170804630,None,-3,-7,1,0,-7,-1,-3,3,1746824884629508256,"translation: 
  x: -0.312092578125
  y: 0.0149572265625
  z: 0.07891611328125
rotation: 
  x: -0.19654156473433623
  y: -0.4229916284499845
  z: 0.6197773441964131
  w: 0.6311303662587071","translation: 
  x: -0.31421337890625
  y: -0.012948046874999999
  z: 0.0667494140625
rotation: 
  x: 0.36553513234322854
  y: 0.10108987627928964
  z: 0.587371249733892
  w: 0.7149544873085993","translation: 
  x: -0.3207990234375
  y: -0.04654599609375
  z: 0.05089921875
rotation: 
  x: 0.035157463343295114
  y: -0.47389330798149903
  z: 0.5236997143845005
  w: 0.7070556516818245","translation: 
  x: -0.3207990234375
  y: -0.08739931640625
  z: 0.02734716796875
rotation: 
  x: -0.06567250018296018
  y: -0.15099792328312595
  z: 0.5695685610663425
  w: 0.8052815682286031"
0,0.061868906,20250509170804644,None,0,3,2,1,-7,-3,0,0,1746824884644309997,"translation: 
  x: -0.31198095703125
  y: 0.01462236328125
  z: 0.07891611328125
rotation: 
  x: -0.20178340824114732
  y: -0.40307853237281827
  z: 0.6254919442393461
  w: 0.6368445497846739","translation: 
  x: -0.3145482421875
  y: -0.01350615234375
  z: 0.0671958984375
rotation: 
  x: 0.3652856424691712
  y: 0.10328598045752632
  z: 0.5862639221714439
  w: 0.7156766163617249","translation: 
  x: -0.32135712890625
  y: -0.04721572265625
  z: 0.05123408203125
rotation: 
  x: 0.039674354701604415
  y: -0.48060902910835857
  z: 0.5238235569987215
  w: 0.7021750407496262","translation: 
  x: -0.32102226562499997
  y: -0.08739931640625
  z: 0.0274587890625
rotation: 
  x: -0.06543061716164177
  y: -0.1508810500219948
  z: 0.5695881710377247
  w: 0.8053092936853558"
