gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp,trakstar0,trakstar1,trakstar2,trakstar3
0,0.016529798,20250509170830197,None,-5,3,1,8,-5,5,-3,-3,1746824910196702718,,,,
0,0.016620636,20250509170830197,None,-2,-3,-4,1,1,-3,-3,-6,1746824910196839570,,,,
0,0.031571388,20250509170830212,None,-1,0,2,0,1,2,0,-5,1746824910211780786,"translation: 
  x: -0.26822548828125
  y: 0.025896093749999998
  z: 0.02734716796875
rotation: 
  x: -0.18140340179437695
  y: -0.08264475303821885
  z: 0.703273888114001
  w: 0.6823990686612161","translation: 
  x: -0.27436464843749997
  y: -0.00390673828125
  z: 0.03404443359375
rotation: 
  x: 0.3607657800970282
  y: 0.41753602975696663
  z: 0.3977580072947945
  w: 0.7330076966844525","translation: 
  x: -0.2882056640625
  y: -0.040630078124999996
  z: 0.03694658203125
rotation: 
  x: 0.13391867418467354
  y: -0.19898581487786499
  z: 0.5842614171812649
  w: 0.7753122149014237","translation: 
  x: -0.29657724609375
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.06470277788547632
  y: 0.003784502102735412
  z: 0.5845224538031334
  w: 0.8087847235684543"
0,0.031741142,20250509170830212,None,-8,-5,2,0,-14,-11,-1,5,1746824910211957931,"translation: 
  x: -0.26822548828125
  y: 0.025896093749999998
  z: 0.02734716796875
rotation: 
  x: -0.18140340179437695
  y: -0.08264475303821885
  z: 0.703273888114001
  w: 0.6823990686612161","translation: 
  x: -0.27436464843749997
  y: -0.00390673828125
  z: 0.03404443359375
rotation: 
  x: 0.3607657800970282
  y: 0.41753602975696663
  z: 0.3977580072947945
  w: 0.7330076966844525","translation: 
  x: -0.2882056640625
  y: -0.040630078124999996
  z: 0.03694658203125
rotation: 
  x: 0.13391867418467354
  y: -0.19898581487786499
  z: 0.5842614171812649
  w: 0.7753122149014237","translation: 
  x: -0.29657724609375
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.06470277788547632
  y: 0.003784502102735412
  z: 0.5845224538031334
  w: 0.8087847235684543"
0,0.03904438,20250509170830219,None,9,6,0,-4,-13,-17,2,-11,1746824910219195604,"translation: 
  x: -0.26822548828125
  y: 0.025784472656249998
  z: 0.02734716796875
rotation: 
  x: -0.18140340179437695
  y: -0.08264475303821885
  z: 0.703273888114001
  w: 0.6823990686612161","translation: 
  x: -0.27436464843749997
  y: -0.004018359375
  z: 0.03404443359375
rotation: 
  x: 0.3607657800970282
  y: 0.41753602975696663
  z: 0.3977580072947945
  w: 0.7330076966844525","translation: 
  x: -0.2882056640625
  y: -0.040630078124999996
  z: 0.03694658203125
rotation: 
  x: 0.13391542020270386
  y: -0.1991030541026527
  z: 0.5842472206838111
  w: 0.7752933762145601","translation: 
  x: -0.2966888671875
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.06458120681769688
  y: 0.003784531968522883
  z: 0.5845270666221791
  w: 0.8087911061762608"
0,0.03915286,20250509170830219,None,-2,0,6,-3,-8,6,5,-2,1746824910219305276,"translation: 
  x: -0.26822548828125
  y: 0.025784472656249998
  z: 0.02734716796875
rotation: 
  x: -0.18140340179437695
  y: -0.08264475303821885
  z: 0.703273888114001
  w: 0.6823990686612161","translation: 
  x: -0.27436464843749997
  y: -0.004018359375
  z: 0.03404443359375
rotation: 
  x: 0.3607657800970282
  y: 0.41753602975696663
  z: 0.3977580072947945
  w: 0.7330076966844525","translation: 
  x: -0.2882056640625
  y: -0.040630078124999996
  z: 0.03694658203125
rotation: 
  x: 0.13391542020270386
  y: -0.1991030541026527
  z: 0.5842472206838111
  w: 0.7752933762145601","translation: 
  x: -0.2966888671875
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.06458120681769688
  y: 0.003784531968522883
  z: 0.5845270666221791
  w: 0.8087911061762608"
0,0.047057867,20250509170830227,None,-4,-1,-3,8,1,0,4,-2,1746824910226983308,"translation: 
  x: -0.26822548828125
  y: 0.025784472656249998
  z: 0.02734716796875
rotation: 
  x: -0.18138829073035548
  y: -0.08263786865710006
  z: 0.7032153047762973
  w: 0.682464289013067","translation: 
  x: -0.27436464843749997
  y: -0.004018359375
  z: 0.03404443359375
rotation: 
  x: 0.3607841690436142
  y: 0.41743521961425284
  z: 0.39777828180849245
  w: 0.7330450595390388","translation: 
  x: -0.2882056640625
  y: -0.04074169921875
  z: 0.03694658203125
rotation: 
  x: 0.1338018214505862
  y: -0.19923774872934003
  z: 0.5841621493075319
  w: 0.7753424890809059","translation: 
  x: -0.2966888671875
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.06445966217631766
  y: 0.003662480805472593
  z: 0.5845319365534261
  w: 0.8087978445418645"
0,0.047176122,20250509170830228,None,4,-7,-12,-9,-9,-5,-3,0,1746824910227157831,"translation: 
  x: -0.26822548828125
  y: 0.025784472656249998
  z: 0.02734716796875
rotation: 
  x: -0.18138829073035548
  y: -0.08263786865710006
  z: 0.7032153047762973
  w: 0.682464289013067","translation: 
  x: -0.27436464843749997
  y: -0.004018359375
  z: 0.03404443359375
rotation: 
  x: 0.3607841690436142
  y: 0.41743521961425284
  z: 0.39777828180849245
  w: 0.7330450595390388","translation: 
  x: -0.2882056640625
  y: -0.04074169921875
  z: 0.03694658203125
rotation: 
  x: 0.1338018214505862
  y: -0.19923774872934003
  z: 0.5841621493075319
  w: 0.7753424890809059","translation: 
  x: -0.2966888671875
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.06445966217631766
  y: 0.003662480805472593
  z: 0.5845319365534261
  w: 0.8087978445418645"
0,0.062015056,20250509170830242,None,0,8,2,9,2,2,-6,1,1746824910241933345,"translation: 
  x: -0.26822548828125
  y: 0.025784472656249998
  z: 0.02734716796875
rotation: 
  x: -0.18138829073035548
  y: -0.08263786865710006
  z: 0.7032153047762973
  w: 0.682464289013067","translation: 
  x: -0.27436464843749997
  y: -0.004018359375
  z: 0.03404443359375
rotation: 
  x: 0.3607693963587764
  y: 0.4174181272929463
  z: 0.3976399065788611
  w: 0.7331371320251951","translation: 
  x: -0.2882056640625
  y: -0.04074169921875
  z: 0.03694658203125
rotation: 
  x: 0.13379218460627987
  y: -0.1994675452980487
  z: 0.5839980028799663
  w: 0.7754087195429653","translation: 
  x: -0.2966888671875
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.0643363784952752
  y: 0.0034182516088571238
  z: 0.5843989446999666
  w: 0.8089048271531186"
0,0.062133312,20250509170830242,None,-3,-3,2,-4,-12,-2,0,-7,1746824910242103338,"translation: 
  x: -0.26822548828125
  y: 0.025784472656249998
  z: 0.02734716796875
rotation: 
  x: -0.18138829073035548
  y: -0.08263786865710006
  z: 0.7032153047762973
  w: 0.682464289013067","translation: 
  x: -0.27436464843749997
  y: -0.004018359375
  z: 0.03404443359375
rotation: 
  x: 0.3607693963587764
  y: 0.4174181272929463
  z: 0.3976399065788611
  w: 0.7331371320251951","translation: 
  x: -0.2882056640625
  y: -0.04074169921875
  z: 0.03694658203125
rotation: 
  x: 0.13379218460627987
  y: -0.1994675452980487
  z: 0.5839980028799663
  w: 0.7754087195429653","translation: 
  x: -0.2966888671875
  y: -0.0910828125
  z: 0.01819423828125
rotation: 
  x: 0.0643363784952752
  y: 0.0034182516088571238
  z: 0.5843989446999666
  w: 0.8089048271531186"
