gt,time_elapsed,current_time,current_task,trakstar0,trakstar1,trakstar2,trakstar3,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.008262873,20250509170844807,None,"translation: 
  x: -0.32113388671875
  y: 0.00636240234375
  z: 0.082599609375
rotation: 
  x: -0.21693145718305293
  y: -0.45327321357381856
  z: 0.7148849821406629
  w: 0.48623409902087783","translation: 
  x: -0.313878515625
  y: -0.020984765625
  z: 0.0756791015625
rotation: 
  x: 0.2638075038114619
  y: 0.1650475451888461
  z: 0.6781354389970711
  w: 0.665805703742579","translation: 
  x: -0.310306640625
  y: -0.057596484375
  z: 0.0660796875
rotation: 
  x: -0.0024414664607766328
  y: -0.44617799570692207
  z: 0.6131743016240409
  w: 0.6518715450273499","translation: 
  x: -0.30483720703125
  y: -0.10280302734375
  z: 0.0471041015625
rotation: 
  x: -0.035890949732151026
  y: -0.15955602482966463
  z: 0.5725461028700284
  w: 0.8033957149227413",-6,1,2,-4,-2,-5,-2,-1,1746824924806591749
0,0.00850606,20250509170844807,None,"translation: 
  x: -0.32113388671875
  y: 0.00636240234375
  z: 0.082599609375
rotation: 
  x: -0.21693145718305293
  y: -0.45327321357381856
  z: 0.7148849821406629
  w: 0.48623409902087783","translation: 
  x: -0.313878515625
  y: -0.020984765625
  z: 0.0756791015625
rotation: 
  x: 0.2638075038114619
  y: 0.1650475451888461
  z: 0.6781354389970711
  w: 0.665805703742579","translation: 
  x: -0.310306640625
  y: -0.057596484375
  z: 0.0660796875
rotation: 
  x: -0.0024414664607766328
  y: -0.44617799570692207
  z: 0.6131743016240409
  w: 0.6518715450273499","translation: 
  x: -0.30483720703125
  y: -0.10280302734375
  z: 0.0471041015625
rotation: 
  x: -0.035890949732151026
  y: -0.15955602482966463
  z: 0.5725461028700284
  w: 0.8033957149227413",-2,-4,3,7,18,-3,-3,-6,1746824924806729078
0,0.015931607,20250509170844814,None,"translation: 
  x: -0.3212455078125
  y: 0.00658564453125
  z: 0.0823763671875
rotation: 
  x: -0.22047449494458174
  y: -0.4569413259012012
  z: 0.7124524653912396
  w: 0.4847753152961982","translation: 
  x: -0.31399013671875
  y: -0.0207615234375
  z: 0.07534423828125
rotation: 
  x: 0.2613945645388019
  y: 0.16128081259026494
  z: 0.6790642540704418
  w: 0.6667331699889757","translation: 
  x: -0.31041826171875
  y: -0.0573732421875
  z: 0.0658564453125
rotation: 
  x: -0.005981429179948261
  y: -0.4467761387471547
  z: 0.6116926861371564
  w: 0.6528302704972087","translation: 
  x: -0.30506044921875
  y: -0.10257978515625
  z: 0.0471041015625
rotation: 
  x: -0.037721482865766626
  y: -0.16150654314371923
  z: 0.5724143467882838
  w: 0.8030159038544107",6,-2,2,-5,1,-4,-5,-1,1746824924813930034
0,0.016064167,20250509170844814,None,"translation: 
  x: -0.3212455078125
  y: 0.00658564453125
  z: 0.0823763671875
rotation: 
  x: -0.22047449494458174
  y: -0.4569413259012012
  z: 0.7124524653912396
  w: 0.4847753152961982","translation: 
  x: -0.31399013671875
  y: -0.0207615234375
  z: 0.07534423828125
rotation: 
  x: 0.2613945645388019
  y: 0.16128081259026494
  z: 0.6790642540704418
  w: 0.6667331699889757","translation: 
  x: -0.31041826171875
  y: -0.0573732421875
  z: 0.0658564453125
rotation: 
  x: -0.005981429179948261
  y: -0.4467761387471547
  z: 0.6116926861371564
  w: 0.6528302704972087","translation: 
  x: -0.30506044921875
  y: -0.10257978515625
  z: 0.0471041015625
rotation: 
  x: -0.037721482865766626
  y: -0.16150654314371923
  z: 0.5724143467882838
  w: 0.8030159038544107",12,0,-3,2,-1,5,-5,3,1746824924814060449
0,0.03092289,20250509170844829,None,"translation: 
  x: -0.3212455078125
  y: 0.00680888671875
  z: 0.08204150390625
rotation: 
  x: -0.22425163520325148
  y: -0.45961208848135093
  z: 0.710476057094678
  w: 0.4834166986417396","translation: 
  x: -0.3141017578125
  y: -0.02064990234375
  z: 0.0752326171875
rotation: 
  x: 0.25905941386332854
  y: 0.15821913306638727
  z: 0.6798783580607336
  w: 0.6675480089560228","translation: 
  x: -0.3105298828125
  y: -0.05703837890625
  z: 0.06574482421875
rotation: 
  x: -0.00939979183298361
  y: -0.4474056762062975
  z: 0.6103760930508834
  w: 0.6535907204388858","translation: 
  x: -0.3051720703125
  y: -0.1024681640625
  z: 0.0471041015625
rotation: 
  x: -0.038698877767813854
  y: -0.16236437675455023
  z: 0.5724259869188617
  w: 0.8027880763443024",-1,-10,-5,-6,-9,3,1,3,1746824924829173564
0,0.031028509,20250509170844829,None,"translation: 
  x: -0.3212455078125
  y: 0.00680888671875
  z: 0.08204150390625
rotation: 
  x: -0.22425163520325148
  y: -0.45961208848135093
  z: 0.710476057094678
  w: 0.4834166986417396","translation: 
  x: -0.3141017578125
  y: -0.02064990234375
  z: 0.0752326171875
rotation: 
  x: 0.25905941386332854
  y: 0.15821913306638727
  z: 0.6798783580607336
  w: 0.6675480089560228","translation: 
  x: -0.3105298828125
  y: -0.05703837890625
  z: 0.06574482421875
rotation: 
  x: -0.00939979183298361
  y: -0.4474056762062975
  z: 0.6103760930508834
  w: 0.6535907204388858","translation: 
  x: -0.3051720703125
  y: -0.1024681640625
  z: 0.0471041015625
rotation: 
  x: -0.038698877767813854
  y: -0.16236437675455023
  z: 0.5724259869188617
  w: 0.8027880763443024",2,5,-4,-9,-21,3,5,-3,1746824924829370021
0,0.038310766,20250509170844837,None,"translation: 
  x: -0.3212455078125
  y: 0.00680888671875
  z: 0.08204150390625
rotation: 
  x: -0.22425163520325148
  y: -0.45961208848135093
  z: 0.710476057094678
  w: 0.4834166986417396","translation: 
  x: -0.3141017578125
  y: -0.02064990234375
  z: 0.0752326171875
rotation: 
  x: 0.25905941386332854
  y: 0.15821913306638727
  z: 0.6798783580607336
  w: 0.6675480089560228","translation: 
  x: -0.3105298828125
  y: -0.05703837890625
  z: 0.06574482421875
rotation: 
  x: -0.00939979183298361
  y: -0.4474056762062975
  z: 0.6103760930508834
  w: 0.6535907204388858","translation: 
  x: -0.3051720703125
  y: -0.1024681640625
  z: 0.0471041015625
rotation: 
  x: -0.038698877767813854
  y: -0.16236437675455023
  z: 0.5724259869188617
  w: 0.8027880763443024",-3,0,-2,-10,-6,-4,-3,-7,1746824924836777210
0,0.038471222,20250509170844837,None,"translation: 
  x: -0.3212455078125
  y: 0.00680888671875
  z: 0.08204150390625
rotation: 
  x: -0.22425163520325148
  y: -0.45961208848135093
  z: 0.710476057094678
  w: 0.4834166986417396","translation: 
  x: -0.3141017578125
  y: -0.02064990234375
  z: 0.0752326171875
rotation: 
  x: 0.25905941386332854
  y: 0.15821913306638727
  z: 0.6798783580607336
  w: 0.6675480089560228","translation: 
  x: -0.3105298828125
  y: -0.05703837890625
  z: 0.06574482421875
rotation: 
  x: -0.00939979183298361
  y: -0.4474056762062975
  z: 0.6103760930508834
  w: 0.6535907204388858","translation: 
  x: -0.3051720703125
  y: -0.1024681640625
  z: 0.0471041015625
rotation: 
  x: -0.038698877767813854
  y: -0.16236437675455023
  z: 0.5724259869188617
  w: 0.8027880763443024",6,-4,2,-1,-3,2,-9,-6,1746824924836943626
0,0.046155215,20250509170844844,None,"translation: 
  x: -0.32135712890625
  y: 0.00703212890625
  z: 0.0819298828125
rotation: 
  x: -0.2280331917130228
  y: -0.46155968836559924
  z: 0.7087584106455088
  w: 0.48231217369280144","translation: 
  x: -0.31421337890625
  y: -0.02053828125
  z: 0.075009375
rotation: 
  x: 0.25676413919821317
  y: 0.15567012718864567
  z: 0.6806752620209408
  w: 0.668221651845849","translation: 
  x: -0.3105298828125
  y: -0.0569267578125
  z: 0.065633203125
rotation: 
  x: -0.012330226988897986
  y: -0.4480389410817377
  z: 0.6094306250354318
  w: 0.6539903562329343","translation: 
  x: -0.3051720703125
  y: -0.1024681640625
  z: 0.0471041015625
rotation: 
  x: -0.03930828336453848
  y: -0.16297067792440648
  z: 0.5724116170693198
  w: 0.8026458482044737",1,6,2,2,-2,1,2,-3,1746824924844285011
0,0.046246529,20250509170844845,None,"translation: 
  x: -0.32135712890625
  y: 0.00703212890625
  z: 0.0819298828125
rotation: 
  x: -0.2280331917130228
  y: -0.46155968836559924
  z: 0.7087584106455088
  w: 0.48231217369280144","translation: 
  x: -0.31421337890625
  y: -0.02053828125
  z: 0.075009375
rotation: 
  x: 0.25676413919821317
  y: 0.15567012718864567
  z: 0.6806752620209408
  w: 0.668221651845849","translation: 
  x: -0.3105298828125
  y: -0.0569267578125
  z: 0.065633203125
rotation: 
  x: -0.012330226988897986
  y: -0.4480389410817377
  z: 0.6094306250354318
  w: 0.6539903562329343","translation: 
  x: -0.3051720703125
  y: -0.1024681640625
  z: 0.0471041015625
rotation: 
  x: -0.03930828336453848
  y: -0.16297067792440648
  z: 0.5724116170693198
  w: 0.8026458482044737",2,-7,3,-7,3,2,1,0,1746824924844548463
